আফ্রিকা	Africa
জাপান	Giappone
দক্ষিণ আমেরিকা	America Meridionale
নরওয়ে	Norvegia
ইংল্যান্ড	Inghilterra
স্কটল্যান্ড	Scozia
ওয়েল্‌স্‌	Galles
উত্তর আয়ারল্যান্ড	Irlanda del Nord
প্রজাতন্ত্রী আয়ারল্যান্ড	Irlanda
হাঙ্গেরি	Ungheria
স্পেন	Spagna
মার্কিন যুক্তরাষ্ট্র	Stati Uniti d'America
বেলজিয়াম	Belgio
লুক্সেমবুর্গ	Lussemburgo
মহাবিশ্ব	Universo
পৃথিবী	Terra
জীবন	Vita
মৃত্যু	Morte
মানুষ	Homo sapiens
সুখ	Felicità
জর্জ ওয়াশিংটন	George Washington
টিম বার্নার্স-লি	Tim Berners-Lee
ইম্যাজিন (জন লেননের গান)	Imagine (singolo John Lennon)
স্ট্যানলি কুবরিক	Stanley Kubrick
মায়া পঞ্জিকা	Calendario maya
উইকিউপাত্ত	Wikidata
ফিনল্যান্ড	Finlandia
সুইডেন	Svezia
ডেনমার্ক	Danimarca
পোল্যান্ড	Polonia
লিথুয়ানিয়া	Lituania
ইতালি	Italia
সুইজারল্যান্ড	Svizzera
অস্ট্রিয়া	Austria
গ্রিস	Grecia
তুরস্ক	Turchia
বিয়ার	Birra
পর্তুগাল	Portogallo
ইউরোপ	Europa
এশিয়া	Asia
উত্তর আমেরিকা	America del Nord
অ্যান্টার্কটিকা	Antartide
উইকিপিডিয়া	Wikipedia
নেদারল্যান্ডস	Paesi Bassi
শিশ্ন	Pene
পিএইচপি	PHP
নিউ ইয়র্ক সিটি	New York
ওয়াশিংটন, ডি.সি.	Washington
সান ফ্রান্সিস্কো	San Francisco
বার্লিন	Berlino
লস অ্যাঞ্জেলেস	Los Angeles
বোয়িং	Boeing
এয়ারবাস	Airbus
কম্পিউটার	Computer
বের্ন	Berna
জেনেভা	Ginevra
জুরিখ	Zurigo
ইন্টারনেট রিলে চ্যাট	Internet Relay Chat
ইন্টারনেট	Internet
বারাক ওবামা	Barack Obama
উরুগুয়ে	Uruguay
বাজেল	Basilea
প্রিন্টার	Stampante
মিডিয়াউইকি	MediaWiki
লন্ডন	Londra
কায়রো	Il Cairo
আলেকজান্দ্রিয়া	Alessandria d'Egitto
অ্যালেক্সান্ড্রিয়া, ভার্জিনিয়া	Alexandria (Virginia)
প্যারিস	Parigi
আব্রাহাম লিংকন	Abraham Lincoln
এনড্রয়েড	Android
গুগল (কোম্পানি)	Google Inc.
মেক্সিকো	Messico
আটলান্টিক মহাসাগর	Oceano Atlantico
প্রশান্ত মহাসাগর	Oceano Pacifico
ক্যালিফোর্নিয়া	California
বস্টন	Boston
সোমবার	Lunedì
স্থান (পদার্থ বিজ্ঞান)	Spazio (fisica)
জানুয়ারি	Gennaio
ফেব্রুয়ারি	Febbraio
মার্চ	Marzo
মঙ্গল (গ্রহ)	Marte (astronomia)
মার্স	Marte (divinità)
কেনিয়া	Kenya
ইথিওপিয়া	Etiopia
ঘানা	Ghana
এপ্রিল	Aprile
মে	Maggio
জুন	Giugno
জুলাই	Luglio
আগস্ট	Agosto
সেপ্টেম্বর	Settembre
অক্টোবর	Ottobre
নভেম্বর	Novembre
ডিসেম্বর	Dicembre
মঙ্গলবার	Martedì
বুধবার	Mercoledì
বৃহস্পতিবার	Giovedì
শুক্রবার	Venerdì
শনিবার	Sabato
রবিবার	Domenica
রাজা (দাবা)	Re (scacchi)
সিংহ	Panthera leo
ফ্রান্স	Francia
কুকুর	Canis lupus familiaris
যুক্তরাজ্য	Regno Unito
বিড়াল	Felis silvestris catus
গণচীন	Cina
ফরাসি ভাষা	Lingua francese
উইকিঅভিধান	Wikizionario
মাছ	Pesce
ইথানল	Etanolo
ব্রাজিল	Brasile
অ্যালকোহল	Alcoli
ফ্রাঁসোয়া ওলাঁদ	François Hollande
রাশিয়া	Russia
তিমি	Cetacea
অপটিক্যাল ফাইবার	Fibra ottica
বর্গক্ষেত্র	Quadrato
সাগর	Mare
কৃষ্ণ সাগর	Mar Nero
পাই	Pi greco
উইকি	Wiki
টরোন্টো	Toronto
আলাবামা	Alabama
সাও পাওলো	San Paolo (Brasile)
কুইবেক	Québec (provincia)
পিৎজা	Pizza
উইকিমিডিয়া ফাউন্ডেশন	Wikimedia Foundation
জিমি ওয়েলস	Jimmy Wales
ইংরেজি (দ্ব্যর্থতা নিরসন)	English (disambigua)
জার্মানি	Germania
বেলারুশ	Bielorussia
ইল কান্তো দেলি ইতালিয়ানী	Il Canto degli Italiani
জার্মান ভাষা	Lingua tedesca
আইসল্যান্ড	Islanda
ঈশ্বর	Dio
ইস্তোনিয়া	Estonia
ডেভিড ক্যামেরন	David Cameron
শনি গ্রহ	Saturno (astronomia)
চকলেট	Cioccolato
উড়োজাহাজ	Aeroplano
যুদ্ধ	Guerra
১ (সংখ্যা)	1 (numero)
০ (সংখ্যা)	0 (numero)
অসীম	Infinito (matematica)
জর্জ ডব্লিউ. বুশ	George W. Bush
আয়তক্ষেত্র	Rettangolo
সমকোণ	Angolo retto
লাতভিয়া	Lettonia
ইউক্রেন	Ucraina
চেক প্রজাতন্ত্র	Repubblica Ceca
স্লোভাকিয়া	Slovacchia
স্লোভেনিয়া	Slovenia
ভিলনিউস	Vilnius
মলদোভা	Moldavia
রোমানিয়া	Romania
বুলগেরিয়া	Bulgaria
রোম	Roma
ম্যাসেডোনিয়া প্রজাতন্ত্র	Repubblica di Macedonia
আলবেনিয়া	Albania
গ্রিনল্যান্ড	Groenlandia
ক্রোয়েশিয়া	Croazia
বসনিয়া ও হার্জেগোভিনা	Bosnia ed Erzegovina
আজারবাইজান	Azerbaigian
অ্যান্ডোরা	Andorra
সাইপ্রাস	Cipro
জর্জিয়া (রাষ্ট্র)	Georgia
কাজাখস্তান	Kazakistan
মাল্টা	Malta
মোনাকো	Principato di Monaco
মন্টিনিগ্রো	Montenegro
ভ্যাটিকান সিটি	Città del Vaticano
সান মারিনো	San Marino
ব্রাসেল্‌স	Regione di Bruxelles-Capitale
কিউবা	Cuba
বেলিজ	Belize
আইফেল টাওয়ার	Torre Eiffel
বার্বাডোস	Barbados
রাস্পবেরি পাই	Raspberry Pi
ভক্সওয়াগেন	Volkswagen
ইন্টেল কর্পোরেশন	Intel
কম্পিউটার কীবোর্ড	Tastiera (informatica)
জাভা (প্রোগ্রামিং ভাষা)	Java (linguaggio di programmazione)
ইন্দোনেশিয়া	Indonesia
ভোল্‌ফগাংক্‌ আমাডেয়ুস মোৎসার্ট	Wolfgang Amadeus Mozart
লুডভিগ ফান বেটোফেন	Ludwig van Beethoven
তুর্কি ভাষা	Lingua turca
দক্ষিণ আফ্রিকা	Sudafrica
লিঙ্কিন পার্ক	Linkin Park
আলজেরিয়া	Algeria
উইকিসংকলন	Wikisource
হারিকেন স্যান্ডি	Uragano Sandy
উজবেকিস্তান	Uzbekistan
সূর্যশিশির (উদ্ভিদ)	Drosera
তাশখন্দ	Tashkent
ওয়ার্সা	Varsavia
ইউরোভিশন সঙ্গীত প্রতিযোগিতা	Eurovision Song Contest
মদ	Vino
পানি	Acqua
পাকাচামড়া	Cuoio
কাঠ	Legno
টেলিভিশন	Televisione
যৌনতা	Sesso (biologia)
পর্নোগ্রাফি	Pornografia
আইসল্যান্ডীয় ভাষা	Lingua islandese
ক্লোদ মোনে	Claude Monet
দিয়েগো বেলাসকেস	Diego Velázquez
চিলি	Cile
যিশু	Gesù
এলভিস প্রেসলি	Elvis Presley
সেবাস্তিয়ান পিনেরা	Sebastián Piñera
গ্যালিলিও গ্যালিলেই	Galileo Galilei
বুধ গ্রহ	Mercurio (astronomia)
ইতিহাস	Storia
সিমতিয়ের দু পের লাশেজ	Cimitero del Père-Lachaise
অ্যাপল ইনকর্পোরেটেড	Apple
শুক্র গ্রহ	Venere (astronomia)
ভাষা	Linguaggio
ভালোবাসা	Amore
একনায়কতন্ত্র	Dittatura
ছায়াপথ	Galassia
বৃহস্পতি গ্রহ	Giove (astronomia)
মিশেল বাশলে	Michelle Bachelet
আকাশগঙ্গা	Via Lattea
মহা বিস্ফোরণ তত্ত্ব	Big Bang
ইউরেনাস গ্রহ	Urano (astronomia)
এদুয়ার্দো ফ্রেই রুইস-তাগ্‌লে	Eduardo Frei Ruiz-Tagle
ইংরেজি উইকিপিডিয়া	Wikipedia in inglese
নিকোলা সার্কোজি	Nicolas Sarkozy
নেপচুন গ্রহ	Nettuno (astronomia)
জ্যোতির্বিজ্ঞান	Astronomia
সিঙ্গাপুর	Singapore
বিজ্ঞান	Scienza
বিশ্বতত্ত্ব	Cosmologia (astronomia)
প্লুটো	Plutone (astronomia)
মন্ট্রিঅল	Montréal
ফ্রি সফটওয়্যার	Software libero
লিশটেনস্টাইন	Liechtenstein
ক্রীড়া	Sport
ক্যামব্রিজ	Cambridge
ইয়েলোস্টোন জাতীয় উদ্যান	Parco nazionale di Yellowstone
আডলফ হিটলার	Adolf Hitler
ফেসবুক	Facebook
গুগল+	Google+
গুয়ানতানামো কারাগার	Campo di prigionia di Guantánamo
উইকিলিকস	WikiLeaks
জুলিয়ান অ্যাস্যাঞ্জ	Julian Assange
প্রথম বিশ্বযুদ্ধ	Prima guerra mondiale
দ্বিতীয় বিশ্বযুদ্ধ	Seconda guerra mondiale
দুর্নীতি	Corruzione
উইকিবই	Wikibooks
আউগুস্তো পিনোচে	Augusto Pinochet
উইকিভ্রমণ	Wikivoyage
ভদকা	Vodka
ঘড়ি	Orologio
উবুন্টু (লিনাক্স ডিস্ট্রিবিউশন)	Ubuntu
লিনাক্স	Linux
বব ডিলন	Bob Dylan
গণিত	Matematica
ইউটু	U2
লাতিন ভাষা	Lingua latina
বাহরাইন	Bahrein
আর্মেনিয়া	Armenia
কিউনিফর্ম	Scrittura cuneiforme
হিগস বোসন	Bosone di Higgs
সার্বিয়া	Serbia
চাঁদ	Luna
ইস্তানবুল	Istanbul
অস্ট্রেলিয়া	Australia
বব মার্লে	Bob Marley
কার্ল সেগান	Carl Sagan
জ্যোতির্জীববিজ্ঞান	Esobiologia
পদার্থবিজ্ঞান	Fisica
আর্জেন্টিনা	Argentina
টেলিযোগাযোগ	Telecomunicazione
পেরু	Perù
জীববিজ্ঞান	Biologia
অশনাক্ত উড়ন্ত বস্তু	UFO
উত্তর কোরিয়া	Corea del Nord
কম্বোডিয়া	Cambogia
কাইপার বেষ্টনী	Fascia di Kuiper
কুরআন	Corano
ডাইনোসর	Dinosauria
প্রাণিবিজ্ঞান	Zoologia
ইসলাম	Islam
নাশপাতি	Pyrus
আলেকজান্দ্রিয়ার প্রাচীন গ্রন্থাগার	Biblioteca di Alessandria
লিউব্লিয়ানা	Lubiana
সালবাদোর আইয়েন্দে	Salvador Allende
উদ্ভিদবিজ্ঞান	Botanica
লেখ ওয়ালেন্সা	Lech Wałęsa
চাকা	Ruota
মন	Mente
শান্তি	Pace
এনসাইক্লোপিডিয়া ব্রিটানিকা	Enciclopedia Britannica
ইউরোপীয় ইউনিয়ন	Unione europea
রোন্‌-আল্প	Rodano-Alpi
ওয়ার্ল্ড ওয়াইড ওয়েব	World Wide Web
নারী	Donna
সফিয়া	Sofia
এদুয়ার্দো ফ্রেই মোন্তাল্‌বা	Eduardo Frei Montalva
ডন কিহোতে	Don Chisciotte della Mancia
অলসতা	Pigrizia
কম্পিউটার ভাইরাস	Virus (informatica)
চেরনোবিলের বিপর্যয়	Disastro di Černobyl'
হাসি	Sorriso
হিরোশিমা ও নাগাসাকিতে পারমাণবিক বোমাবর্ষণ	Bombardamenti atomici di Hiroshima e Nagasaki
মিলান	Milano
বন্ধুত্ব	Amicizia
আর্তু র‍্যাঁবো	Arthur Rimbaud
তুরিন	Torino
মল	Feci
লেবু	Citrus × limon
কলা (ফল)	Banana
এমিল জোলা	Émile Zola
৬৬৬	666
ফুল	Fiore
গুগল (সংখ্যা)	Googol
মারিয়ানা খাত	Fossa delle Marianne
মাউন্ট এভারেস্ট	Everest
শারীরস্থান	Anatomia
শহর	Città
নেপোলিয়ন বোনাপার্ট	Napoleone Bonaparte
অলিম্পাস মন্‌স্‌	Olympus Mons
শারীরবিদ্যা	Fisiologia
তারা	Stella
মাউন্ট ভিসুভিয়াস	Vesuvio
সূর্য	Sole
আকাশ	Cielo
লুই পাস্তুর	Louis Pasteur
আলোক বর্ষ	Anno luce
গ্রাম	Villaggio
ভিক্টর হুগো	Victor Hugo
ওশেনিয়া	Oceania
সৌরজগৎ	Sistema solare
বাল্টিক সাগর	Mar Baltico
ত্রিয়েস্তে	Trieste
ভিস্তুলা নদী	Vistola
সিয়ামিজ লড়াকু মাছ	Betta splendens
শঁজেলিজে	Avenue des Champs-Élysées
ওডার নদী	Oder
দাঁত	Dente
হাইড্রোজেন	Idrogeno
হিলিয়াম	Elio
উইকিমিডিয়া কমন্স	Wikimedia Commons
আঙ্গেলা মের্কেল	Angela Merkel
লিথিয়াম	Litio
বেরিলিয়াম	Berillio
বই	Libro
দিন	Giorno
পূর্ব তিমুর	Timor Est
রাত	Notte
হোর্হে আলেস্‌সান্দ্রি	Jorge Alessandri Rodríguez
বছর	Anno
মোঁ ব্লঁ	Monte Bianco
রাইন নদী	Reno
কৃষ্ণ বিবর	Buco nero
চেরেস	Cerere (astronomia)
লিসবন	Lisbona
হাউমেয়া	Haumea (astronomia)
এরিস	Eris (astronomia)
দুবাই	Dubai
লিওনেল মেসি	Lionel Messi
পাদোয়া	Padova
বোরন	Boro
নিকোলাউস কোপের্নিকুস	Niccolò Copernico
কার্বন	Carbonio
আলেসান্দ্রো দেল পিয়েরো	Alessandro Del Piero
ভোলগা নদী	Volga
নাইট্রোজেন	Azoto
অক্সিজেন	Ossigeno
ফুটবল ক্লাব ইন্তারনাজিওনালে মিলানো	Football Club Internazionale Milano
গ্রহ	Pianeta
ক্লিওপেট্রা	Cleopatra VII
সঙ্গীত	Musica
ভেনিস	Venezia
প (নদী)	Po
থার্মোমিটার	Termometro
মস্কো	Mosca (Russia)
ফ্লুরিন	Fluoro
ইতালীয় ভাষা	Lingua italiana
নিয়ন	Neon
সেন্ট পিটার্সবার্গ	San Pietroburgo
চাদ	Ciad
সোডিয়াম	Sodio
ম্যাগনেসিয়াম	Magnesio
অ্যালুমিনিয়াম	Alluminio
নিউজিল্যান্ড	Nuova Zelanda
ভারত	India
সিলিকন	Silicio
ফ্রান্সিয়াম	Francio
টুভালু	Tuvalu
ফসফরাস	Fosforo
অঁদ্রে-মারি অম্পেয়্যার	André-Marie Ampère
গদ্য	Prosa
লোহা	Ferro
টোঙ্গা	Tonga
আলেসান্দ্রো ভোল্টা	Alessandro Volta
গন্ধক	Zolfo
সামোয়া	Samoa
সলোমন দ্বীপপুঞ্জ	Isole Salomone
ভানুয়াটু	Vanuatu
মলিয়ের	Molière
ক্লোরিন	Cloro
পাপুয়া নিউগিনি	Papua Nuova Guinea
উইলিয়াম শেকসপিয়র	William Shakespeare
পালাউ	Palau (stato)
আর্গন	Argon
নাউরু	Nauru
মোজিলা ফায়ারফক্স	Mozilla Firefox
মাইক্রোনেশিয়া যুক্তরাজ্য	Stati Federati di Micronesia
পটাশিয়াম	Potassio
অলিম্পিক লিওনে	Olympique Lyonnais
ক্যালসিয়াম	Calcio (elemento chimico)
সীসা	Piombo
মার্শাল দ্বীপপুঞ্জ	Isole Marshall
কিরিবাস	Kiribati
মঙ্গোলিয়া	Mongolia
ফিজি	Figi
স্ক্যানডিয়াম	Scandio
টাইটানিয়াম	Titanio
ভেনেজুয়েলা	Venezuela
দাবা	Scacchi
চেঙ্গিজ খান	Gengis Khan
ভ্যানাডিয়াম	Vanadio
মেইন	Maine
ক্রোমিয়াম	Cromo
ঘোড়া	Equus caballus
আমস্টারডাম	Amsterdam
প্রাণী	Animalia
সুরিনাম	Suriname
ম্যাঙ্গানিজ	Manganese
প্যারাগুয়ে	Paraguay
