ཨ་ཧྥེ་རི་ཁ།	Africa
ཉི་ཧོང་།	Giappone
ནོར་ཝེ།	Norvegia
སི་ཁོ་ཁྲི་ལན་ཌི།	Scozia
ཨར་ལེན་ཌ།	Irlanda
ཧུང་གྷ་རི།	Ungheria
ཞི་པན་ཡ།	Spagna
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	Stati Uniti d'America
པེར་ཅིན།	Belgio
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Lussemburgo
སའི་གོ་ལ།	Terra
འཚོ་བ།	Vita
ཤི་བ།	Morte
འགྲོ་བ་མི།	Homo sapiens
དགའ་སྐྱིད།	Felicità
ཧྥིན་ལན།	Finlandia
སི་ཝེ་དེན།	Svezia
དན་མྲག	Danimarca
ཕོ་ལན།	Polonia
ལི་ཐུ་ཨེ་ནི་ཡ།	Lituania
ཨི་ཏ་ལི།	Italia
སུད་སི།	Svizzera
ཨོ་སི་ཐྲི་ཡ།	Austria
ཀེ་རི་སི།	Grecia
ཏུར་ཀི།	Turchia
སྦི་རག	Birra
པོ་ཅུ་གྷལ།	Portogallo
ཡོ་རོབ་གླིང་།	Europa
ཨེ་ཤེ་ཡ།	Asia
ལྷོ་མཐའི་གླིང་།	Antartide
ཧོ་ལན།	Paesi Bassi
ནེའུ་ཡོར་ཀ།	New York
ཝ་ཤིན་ཏྲོན།	Washington
སན་ཧྥུ་རན་སིས་ཁོ	San Francisco
པེར་ལིན།	Berlino
གློག་ཀླད།	Computer
པེར་ནེ།	Berna
ཀྲེ་ནེ་ཝ།	Ginevra
བ་རག་ཨོ་པྰ་མ།	Barack Obama
ཨུ་རུ་གུ་ཡེ།	Uruguay
པ་སེལ།	Basilea
ལོན་ཊོན།	Londra
ཁ་ཡི་རོ	Il Cairo
ཡ་ལི་ཧྲན་ད	Alessandria d'Egitto
ཕ་རི།	Parigi
མེག་སི་ཀོ།	Messico
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	Oceano Atlantico
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	Oceano Pacifico
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	California
བོ་སེ་ཊོན།	Boston
གཟའ་ཟླ་བ།	Lunedì
མིག་དམར།	Marte (astronomia)
མ་ཨེར་སི།	Marte (divinità)
ཁེ་ནི་ཡ།	Kenya
ཨི་ཐི་ཨོ་པི་ཡ།	Etiopia
ཀ་ན།	Ghana
གཟའ་མིག་དམར།	Martedì
གཟའ་ལྷག་པ།	Mercoledì
གཟའ་ཕུར་བུ།	Giovedì
གཟའ་པ་སངས།	Venerdì
གཟའ་སྤེན་པ།	Sabato
གཟའ་ཉི་མ།	Domenica
སེང་གེ།	Panthera leo
ཧྥ་རན་སི།	Francia
ཁྱི།	Canis lupus familiaris
དབྱིན་ཇི་མཉམ་འབྲེལ།	Regno Unito
ཞི་མི།	Felis silvestris catus
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Cina
ཧྥ་རན་སིའི་སྐད།	Lingua francese
ཉ།	Pesce
ཨ་རག་ཉིང་ཁུ།	Etanolo
པུ་རུ་ཟིལ།	Brasile
ཧྥ་རན་སུའཱ་ཨོ་ལན་དེ།	François Hollande
ཨུ་རུ་སུ།	Russia
ཕའེ།	Pi (lettera greca)
ཨ་ལ་པ་མ།	Alabama
སན་པའུ་ལོ་	San Paolo (Brasile)
འཇར་མན།	Germania
བྷེ་ལ་རསུ།	Bielorussia
འཇར་མན་སྐད།	Lingua tedesca
ཨཡིསུ་ལེན་ཌ།	Islanda
ཨིསུ་ཊོ་ནིཡ།	Estonia
སྤེན་པ།	Saturno (astronomia)
སྤེན་པའི་གདུབ་ཀོར།	Anelli di Saturno
སེའུ།	Ciliegia
དམག་འཁྲུག	Guerra
༡ (གྲངས་ཀ།)	1 (numero)
༢ (གྲངས་ཀ།)	2 (numero)
༣ (གྲངས་ཀ།)	3 (numero)
༤ (གྲངས་ཀ།)	4 (numero)
༥ (གྲངས་ཀ།)	5 (numero)
༠ (གྲངས་ཀ།)	0 (numero)
ལ་ཊ་ཝིཡ།	Lettonia
ཨུཀ་རཡི་ནི།	Ucraina
ཅེ་ཁེ།	Repubblica Ceca
སི་ལོ་ཕ་ཁེ།	Slovacchia
སི་ལོ་ཝེ་ནི་ཡ།	Slovenia
ལྦེ་ནི་སུ་ནི།	Vilnius
མོལ་དོ་ཝ།	Moldavia
རོ་མ་ནི་ཡ།	Romania
པུ་ར་ག་རི་ཡ།	Bulgaria
རོ་མ།	Roma
མ་སེ་ཌོ་ནིཡ། (རྒྱལ་ཁབ།)	Repubblica di Macedonia
ཨལ་པ་ཉི་ཡ།	Albania
གེ་རེན་ལ	Groenlandia
ཁུརོ་ཤི་ཡ།	Croazia
བྷོསུ་ནིཡ་དང་ཧར་ཛེ་གྷོ་ཝི་ན།	Bosnia ed Erzegovina
ཨ་ཛར་བཡི་ཇན།	Azerbaigian
