Hĭ-ciŭ	Africa
Nĭk-buōng	Giappone
Nàng Mī-ciŭ	America Meridionale
Nò̤-ŭi	Norvegia
Ĭng-gáik-làng	Inghilterra
Sŭ-gáik-làng	Scozia
Ŭi-ī-sê̤ṳ	Galles
Báe̤k Ái-ī-làng	Irlanda del Nord
Ái-ī-làng	Irlanda
Hungary	Ungheria
Să̤-băng-ngà	Spagna
Mī-guók	Stati Uniti d'America
Bī-lé-sì	Belgio
Luxembourg	Lussemburgo
Ṳ̄-dêu	Universo
Dê-giù	Terra
Sĕng-mêng	Vita
Sī	Morte
Nè̤ng	Homo sapiens
Huăng-hī	Felicità
George Washington	George Washington
Wikidata	Wikidata
Hŭng-làng	Finlandia
Sôi-diēng	Svezia
Dăng-măk	Danimarca
Pŏ̤-làng	Polonia
Lithuania	Lituania
É-dâi-lé	Italia
Sô̤i-sê̤ṳ	Svizzera
Ó̤-dê-lé	Austria
Hĭ-lé-nà̤	Grecia
Tū-ī-gì	Turchia
Bì-ciū	Birra
Può-dò̤-ngà	Portogallo
Ĕu-ciŭ	Europa
Ā-ciŭ	Asia
Báe̤k Mī-ciŭ	America del Nord
Nàng-gĭk-ciŭ	Antartide
Wikipedia	Wikipedia
Hò̤-làng	Paesi Bassi
Ĭng-gĕng	Pene
PHP	PHP
Niū-iók-chê	New York
Washington, D.C.	Washington
Gô-gĭng-săng	San Francisco
Báik-lìng	Berlino
Los Angeles	Los Angeles
Diêng-nō̤	Computer
Sŭ-là̤-sié	Zurigo
Barack Obama	Barack Obama
Uruguay	Uruguay
MediaWiki	MediaWiki
Lùng-dŭng	Londra
Bìng-guō	Mela
Bă-là̤	Parigi
Mĕ̤k-să̤-gŏ̤	Messico
Dâi-să̤-iòng	Oceano Atlantico
Tái-bìng-iòng	Oceano Pacifico
California	California
Boston	Boston
Lā̤-bái-ék	Lunedì
Huōi-sĭng	Marte (astronomia)
Kenya	Kenya
Ethiopia	Etiopia
Gŭng-ciō (nguòng-siū)	Monarca
Ghana	Ghana
Lā̤-bái-nê	Martedì
Lā̤-bái-săng	Mercoledì
Lā̤-bái-sé	Giovedì
Lā̤-bái-ngô	Venerdì
Lā̤-bái-lĕ̤k	Sabato
Lā̤-bái-nĭk	Domenica
Săi (mà-kuŏ dông-ŭk)	Panthera leo
Huák-guók	Francia
Kēng	Canis lupus familiaris
Ĭng-guók	Regno Unito
Mà	Felis silvestris catus
Dṳ̆ng-huà Ìng-mìng Gê̤ṳng-huò-guók	Cina
Huák-ngṳ̄	Lingua francese
Wiktionary	Wikizionario
Ngṳ̀	Pesce
Ciū	Bevanda alcolica
Bă-să̤	Brasile
Ngò̤-lò̤-sṳ̆	Russia
Hāi	Mare
Alabama	Alabama
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Dáik-guók	Germania
Belarus	Bielorussia
Dáik-ngṳ̄	Lingua tedesca
Bĭng-dō̤	Islanda
Estonia	Estonia
Tū-sĭng	Saturno (astronomia)
Hĭ-gĭ	Aeroplano
