Afirik	Africa
Norwees	Norvegia
Irlannda	Irlanda
Hunngariya	Ungheria
Hispaanya	Spagna
Dowlaaji Dentuɗi	Stati Uniti d'America
Beljik	Belgio
Luksammbuur	Lussemburgo
Suwed	Svezia
Poloonya	Polonia
Lituwaniya	Lituania
Italiya	Italia
Suwis	Svizzera
Portokeesi	Portogallo
Yuroopu	Europa
Aasiya	Asia
Wikipeediya	Wikipedia
Holannda	Paesi Bassi
Kenya	Kenya
Gana	Ghana
Faransi	Francia
Esperanto	Lingua esperanto
Faransinkoore	Lingua francese
Roosiya	Russia
Almaanya	Germania
Belaruusiya	Bielorussia
Almankoore	Lingua tedesca
Islannda	Islanda
Estoniya	Estonia
Go’o	1 (numero)
Ɗiɗi	2 (numero)
Tati	3 (numero)
Nayi	4 (numero)
Jowi	5 (numero)
Ukrayiina	Ucraina
Sulowakiya	Slovacchia
Suloweniya	Slovenia
Moldowa	Moldavia
Romaniya	Romania
Bulgariya	Bulgaria
Masedoniya	Repubblica di Macedonia
Albaniya	Albania
Korowaasiya	Croazia
Bosniya	Bosnia ed Erzegovina
Anndoora	Andorra
Montenegro	Montenegro
Watikan	Città del Vaticano
Aljeri	Algeria
Ndiyam	Acqua
Ciile	Cile
Sinngapuur	Singapore
Armaaniya	Armenia
Serbiya	Serbia
Lewru	Luna
Peru	Perù
Alqur'aana	Corano
Naange	Sole
Njuɓɓudi naangeyankoori	Sistema solare
East Timor	Timor Est
Nawru	Nauru
Fiiji	Figi
Ndimaagu	Saggezza
Aameerik	America
Wiyetnam	Vietnam
Maali	Mali
Anngolaa	Angola
Togo	Togo
Benen	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burunndi	Burundi
Gine Ekwatoriyal	Guinea Equatoriale
Eritereya	Eritrea
Gabon	Gabon
Gammbi	Gambia
Gine	Guinea
Gine-Bisaawo	Guinea-Bissau
Kodduwaar	Costa d'Avorio
Kamerun	Camerun
Kapu Werde	Capo Verde
Labiriyaa	Liberia
Muritani	Mauritania
Mozammbik	Mozambico
Namibiya	Namibia
Niiser	Niger
Niiseriya	Nigeria
Senegaal	Senegal
Sarliyon	Sierra Leone
Somaaliya	Somalia
Uetersen	Uetersen
Ho Chi Minh City	Ho Chi Minh (città)
Egilis Haqiiqaajo mo Iisaa Almasiihu	Vera Chiesa di Gesù
Đồng Hới	Dong Hoi
Kurów	Kurów
Maayo Niil	Nilo
Maayo Jaaliba	Niger (fiume)
Nouakchott	Nouakchott
Konaakiri	Conakry
Osasco	Osasco (San Paolo)
Aéroport de Dong Hoi	Aeroporto di Dong Hoi
Curitiba	Curitiba
Catégorie:Hisaabu	Categoria:Matematica
Duungal	Continente
Monzón	Monzón
Almazán	Almazán
Saggitorde huuɓnude	Enciclopedia
Hello jaɓɓorgo	Pagina principale
Catégorie:Candidates for speedy deletion	Categoria:Cancellare subito
Carl Friedrich Gauss	Carl Friedrich Gauss
Qin Shi Huang	Qin Shi Huang
Ndenndaandi	Repubblica
Leydi	Stato
Riisinkoore	Lingua russa
UNESCO	Organizzazione delle Nazioni Unite per l'Educazione, la Scienza e la Cultura
Nelson Manndelaa	Nelson Mandela
Dewgal	Matrimonio
Nelaaɗo Muhammadu	Maometto
Ronald Reagan	Ronald Reagan
Kudaku	Solanum tuberosum
Limle	Numero
Masarji	Zea mays
Ngaluuji leydi	Stati del mondo
Modèle:Link FA	Template:Link V
Wikipedia:Accueil	Wikipedia:Bar
Joweenayi	9 (numero)
Bien Hoa	Biên Hòa
Nha Trang	Nha Trang
Vung Tau	Vũng Tàu
Bahai	Bahá'í
Joweeɗiɗi	7 (numero)
Joweetati	8 (numero)
Joweego	6 (numero)
Entrena	Entrena
Sappo	10 (numero)
Aéroport de Cam Ranh	Aeroporto internazionale di Cam Ranh
Nowy Dwór Królewski	Nowy Dwór Królewski
Ca Mau	Cà Mau
Da Nang	Da Nang
Fulfulde	Lingua fula
Cirgu	Panthera pardus
Ido	Lingua ido
Sappo e ɗiɗi	12 (numero)
Sappo e go’o	11 (numero)
Sappo e tati	13 (numero)
Teemerre	100 (numero)
Miliyonji	Milione
Sappo e nay	14 (numero)
Sappo e jowi	15 (numero)
Sappo e joweetati	18 (numero)
Ciifol Gaaza	Striscia di Gaza
Sappo e joweenay	19 (numero)
Sappo e joweeɗiɗi	17 (numero)
Sappo e joweego	16 (numero)
Noogas	20 (numero)
Cappanɗe nayi	40 (numero)
Cappanɗe tati	30 (numero)
Booro	1000 (numero)
Montehermoso	Montehermoso
Lacuna Coil	Lacuna Coil
Cappanɗe joweego	60 (numero)
Coronel Fabriciano	Coronel Fabriciano
Ahmed Seeku Tuuree	Ahmed Sékou Touré
Aamadu Tumani Tuure	Amadou Toumani Touré
Alahajji Umaru Taal	Al-Ḥāǧǧ ʽUmar
Banovci (Nijemci)	Banovci
Tigranes II	Tigrane II
Pullo	Fulani
Lansana Konte	Lansana Conté
Teemeɗɗe jowi	500 (numero)
Trpinja	Trpinja
Cappanɗe joweenayi	90 (numero)
Booro sappo	10000
Paramore	Paramore
Aéroport de Tan Son Nhat	Aeroporto Internazionale Tan Son Nhat
Buford	Buford (Wyoming)
Cappanɗe joweetati	80 (numero)
Noogas e go’o	21 (numero)
Noogas e ɗiɗi	22 (numero)
Cappanɗe joweeɗiɗi	70 (numero)
Cappanɗe jowi	50 (numero)
Teemeɗɗe ɗiɗi	200 (numero)
Aéroport de Da Nang	Aeroporto Internazionale di Da Nang
Pigazzano	Pigazzano
Adradas	Adradas
Arenillas	Arenillas
Medford	Medford (Oregon)
Fuuta Jaloo	Futa Jalon
Aéroport de Ca Mau	Aeroporto di Cà Mau
Labe	Labé
Fonnye	Digitaria exilis
Teemeɗɗe tati	300 (numero)
Catégorie:Roosiya	Categoria:Russia
Catégorie:Hispaanya	Categoria:Spagna
Catégorie:Vietnam	Categoria:Vietnam
Catégorie:Taariika	Categoria:Storia
Catégorie:Mbaalaandi	Categoria:Geografia
Catégorie:Diina	Categoria:Religione
Catégorie:Siyansi	Categoria:Scienza
Teemeɗɗe nayi	400 (numero)
Catégorie:Duungal	Categoria:Continenti
Catégorie:Leydi	Categoria:Nazioni
Wikipedia:Administrateurs	Wikipedia:Amministratori
Catégorie:Yimɓe	Categoria:Persone
Modèle:Bot	Template:Bot
Wikipedia:Copyrights	Wikipedia:Copyright
Catégorie:Yuroopu	Categoria:Europa
Modèle:Documentation	Template:Man
Catégorie:Babel	Categoria:Utenti per lingua
Sung Jae-gi	Sung Jae-gi
Modèle:Softredirect	Template:Soft redirect
Modèle:Db	Template:Cancella subito
Catégorie:Wikipeediya	Categoria:Wikipedia
Modèle:Clear	Template:Clear
Catégorie:Afirik	Categoria:Africa
Catégorie:Limle	Categoria:Numeri
Modèle:Babel	Template:Babel
Modèle:Commons	Template:Commons
Modèle:Stub	Template:S
Modèle:User af-1	Template:Utente af-1
Modèle:User ar-1	Template:Utente ar-1
Modèle:User ast-1	Template:Utente ast-1
Modèle:User az	Template:Utente az
Modèle:User eo-1	Template:Utente eo-1
Modèle:User da-2	Template:Utente da-2
Modèle:User da	Template:Utente da
Modèle:User ca-1	Template:Utente ca-1
Modèle:User be-2	Template:Utente be-2
Modèle:User da-1	Template:Utente da-1
Modèle:User cs-1	Template:Utente cs-1
Modèle:User bg-1	Template:Utente bg-1
