Afirka	Africa
Japan	Giappone
Norway	Norvegia
Ireland	Irlanda
Hungariya	Ungheria
An Spàinn	Spagna
Amurika	Stati Uniti d'America
Beljik	Belgio
Luksamburg	Lussemburgo
Duniya	Terra
Yan-adam	Homo sapiens
Finland	Finlandia
Sweden	Svezia
Denmark	Danimarca
Poland	Polonia
Lithuania	Lituania
Italiya	Italia
Switzerland	Svizzera
Austriya	Austria
Greek	Grecia
Turkiyya	Turchia
Portugal	Portogallo
Turai	Europa
Asiya	Asia
Amirka ta Arewa	America del Nord
Wikipedia	Wikipedia
Berlin	Berlino
Airbus	Airbus
Na'ura	Computer
Yanar gizo	Internet
Barack Obama	Barack Obama
Pariis	Parigi
Kenya	Kenya
Ethiopia	Etiopia
Zaki	Panthera leo
Faransa	Francia
Esperanto	Lingua esperanto
Kare	Canis lupus familiaris
Birtaniya	Regno Unito
Kyanwa	Felis silvestris catus
Sin	Cina
Kifi	Pesce
Rasha	Russia
Teku	Mare
São Paulo	San Paolo (Brasile)
Jamus	Germania
Iceland	Islanda
Istoniya	Estonia
Jirgin sama	Aeroplano
Ɗaya	1 (numero)
Biyu	2 (numero)
Uku	3 (numero)
Huɗu	4 (numero)
Biyar	5 (numero)
Laitfiya	Lettonia
Ukraniya	Ucraina
Kazech	Repubblica Ceca
Slofakiya	Slovacchia
Sloveniya	Slovenia
MOldufiniya	Moldavia
Romainiya	Romania
Bulgairiya	Bulgaria
Masadoiniya	Repubblica di Macedonia
Albaniya	Albania
Kroatiya	Croazia
Azerbaijan	Azerbaigian
Andorra	Andorra
Cyprus	Cipro
Georgia (country)	Georgia
Kazakystan	Kazakistan
Malta	Malta
Monaco	Principato di Monaco
Montenegro	Montenegro
Vatican	Città del Vaticano
San Marino	San Marino
Indonesiya	Indonesia
Afirka ta kudu	Sudafrica
Aljeriya	Algeria
Uzbekistan	Uzbekistan
Ruwa	Acqua
Chile	Cile
Isa Almasihu	Gesù
Singafora	Singapore
Ilmi	Scienza
Liechtenstein	Liechtenstein
Hitler	Adolf Hitler
Facebook	Facebook
Baharain	Bahrein
Armeniya	Armenia
Serbiya	Serbia
Wata	Luna
Santanbul	Istanbul
Asturaliya	Australia
Koriya ta Arewa	Corea del Nord
Kambodiya	Cambogia
Musulunci	Islam
Rana	Sole
Angela Merkel	Angela Merkel
Timor-Leste	Timor Est
Duniyoyi	Pianeta
Cadi	Ciad
Indiya	India
Mangolia	Mongolia
Dabba	Animalia
Shuka	Plantæ
Kaza	Gallus gallus domesticus
Jersey	Baliato di Jersey
Aladu	Sus scrofa domesticus
Iran	Iran
Irak	Iraq
Isra'ila	Israele
Yemen	Yemen
Jordan	Giordania
Kyrgystan	Kirghizistan
Kuwait	Kuwait
Laos	Laos
Lebanon	Libano
Maldives	Maldive
Maleziya	Malesia
Myanmar	Birmania
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudiyya	Arabia Saudita
Sri Lanka	Sri Lanka
Siriya	Siria
Tajikistan	Tagikistan
Thailand	Thailandia
Turkmenistan	Turkmenistan
Taraiyar larabawa	Emirati Arabi Uniti
Vietnam	Vietnam
Koriya ta Kudu	Corea del Sud
Da Simpsons	I Simpson
Afghanistan	Afghanistan
Bangladash	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Filipin	Filippine
Togo	Togo
Benin	Benin
Botswana	Botswana
Burkina faso	Burkina Faso
Burundi	Burundi
