非洲	Africa
日本	Giappone
南美洲	America Meridionale
Nò-vî	Norvegia
Sû-kak-làn	Scozia
Vî-ngì-sṳ̂	Galles
Pet Oi-ngì-làn	Irlanda del Nord
Hiûng-ngà-li	Ungheria
Sî-pân-ngà	Spagna
Mî-koet	Stati Uniti d'America
Pí-li-sṳ̀	Belgio
Lù-sêm-pó	Lussemburgo
Yî-chhiu	Universo
Thi-khiù	Terra
Sâng-miang	Vita
Ngìn-lui	Homo sapiens
George Washington	George Washington
Fûn-làn	Finlandia
Shuì-tién	Svezia
Tan-ma̍k	Danimarca
Pô-làn	Polonia
Li̍p-thâu-vón	Lituania
Yi-thai-li	Italia
Shuì-sṳ	Svizzera
O-thi-li	Austria
Hî-lia̍p	Grecia
Thú-ngí-khì	Turchia
Phù-thò-ngà	Portogallo
歐洲	Europa
亞洲	Asia
北美洲	America del Nord
南極洲	Antartide
Vì-kî Pak-khô	Wikipedia
Hò-làn	Paesi Bassi
Néu-yok-sṳ	New York
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington
Khiu-kîm-sân	San Francisco
Pak-lìm	Berlino
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Computer
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	Londra
Phìn-kó	Mela
Pâ-lì-sṳ	Parigi
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google Inc.
Me̍t-sî-kô	Messico
Thai-sî-yòng	Oceano Atlantico
Thai-phìn-yòng	Oceano Pacifico
Kâ-li-fuk-nì-â	California
Pô-sṳ-tun	Boston
Fó-sên	Marte (astronomia)
Âi-set-ngò-pí-â	Etiopia
Sṳ̂-é	Panthera leo
Fap-koet	Francia
Sṳ-kie-ngî	Lingua esperanto
Kiéu-è	Canis lupus familiaris
Yîn-koet	Regno Unito
Meu-é	Felis silvestris catus
中華人民共和國	Cina
Fap-ngî	Lingua francese
Ǹg-è	Pesce
Pâ-sî	Brasile
François Hollande	François Hollande
Ngò-lò-sṳ̂	Russia
Kîn-ǹg	Cetacea
Chang-fông-hìn	Quadrato
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Québec (provincia)
Boeing 747	Boeing 747
