ʻApelika	Africa
Iāpana	Giappone
‘Amelika Hema	America Meridionale
Nolewai	Norvegia
ʻIlelani	Irlanda
Hunakalia	Ungheria
Sepania	Spagna
‘Amelika Hui Pū ‘ia	Stati Uniti d'America
Pelekiuma	Belgio
Lukemapuka	Lussemburgo
Honua	Terra
Keoki Wakinekona	George Washington
Pinilana	Finlandia
Kuekene	Svezia
Kenemaka	Danimarca
Pōlani	Polonia
Lituania	Lituania
ʻĪkālia	Italia
Kuikilani	Svizzera
ʻAukekulia	Austria
Helene	Grecia
Tureke	Turchia
Potugala	Portogallo
‘Eulopa	Europa
‘Ākia	Asia
‘Amelika ‘Ākau	America del Nord
‘Ane‘ālika	Antartide
Wikipikia	Wikipedia
Hōlani	Paesi Bassi
Wakinekona, D.C.	Washington
Kapalakiko	San Francisco
Pelelina	Berlino
Barack Obama	Barack Obama
Lākana	Londra
Palika	Parigi
Mekiko	Messico
Moana ʻAkelanika	Oceano Atlantico
Moana Pākīpika	Oceano Pacifico
Kaleponi	California
Pokekona	Boston
Pō‘akahi	Lunedì
Ianuali	Gennaio
Pepeluali	Febbraio
Malaki	Marzo
Hōkū‘ula	Marte (astronomia)
Kenia	Kenya
‘Aikiopia	Etiopia
‘Apelila	Aprile
Mei	Maggio
Iune	Giugno
Iulai	Luglio
‘Aukake	Agosto
Kepakemapa	Settembre
‘Okakopa	Ottobre
Nowemapa	Novembre
Kēkēmapa	Dicembre
Pō‘alua	Martedì
Pō‘akolu	Mercoledì
Pō‘ahá	Giovedì
Pō‘alima	Venerdì
Pō‘aono	Sabato
Pōpule	Domenica
Liona	Panthera leo
Palani	Francia
‘Ōlelo Ekepelānako	Lingua esperanto
Aupuni Mōʻī Hui Pū ʻia	Regno Unito
Pōpoki	Felis silvestris catus
Kina	Cina
‘Ōlelo Palani	Lingua francese
Palakila	Brasile
Rūsia	Russia
Pai (makemakika)	Pi greco
‘Alapama	Alabama
Kelemānia	Germania
Belarusa	Bielorussia
ʻĀina Hau	Islanda
ʻEsetonia	Estonia
Makulu	Saturno (astronomia)
1 (helu)	1 (numero)
Lakawia	Lettonia
ʻUkelena	Ucraina
Tiekia	Repubblica Ceca
Solowakia	Slovacchia
Solowenia	Slovenia
Molodowa	Moldavia
Romānia	Romania
Pulukalia	Bulgaria
Loma	Roma
Repupalika o Masedonia	Repubblica di Macedonia
ʻAlepania	Albania
Koloatia	Croazia
Bosenia me Hesegowina	Bosnia ed Erzegovina
‘Akepaikana	Azerbaigian
ʻAnakola	Andorra
Kupelo	Cipro
Keokia	Georgia
Kasakana	Kazakistan
Malata	Malta
Monako	Principato di Monaco
Montenegero	Montenegro
Wakikana	Città del Vaticano
Sana Marino	San Marino
‘Inidonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
‘Alekelia	Algeria
Kelewikiona	Televisione
Chile	Cile
Ukaliali‘i	Mercurio (astronomia)
Hōkūloa	Venere (astronomia)
Ka‘āwela	Giove (astronomia)
Hele‘ekela	Urano (astronomia)
Nepekune	Nettuno (astronomia)
Kilo hōkū	Astronomia
Sinapoa	Singapore
Akeakamai	Scienza
Likenekaina	Liechtenstein
Makemakika	Matematica
Baharaina	Bahrein
‘Āmēnia	Armenia
Seripia	Serbia
‘Aukekulelia	Australia
Kālaikūlohea	Fisica
‘Alekina	Argentina
Kālaimeaola	Biologia
Kōlea ʻĀkau	Corea del Nord
Kamabodia	Cambogia
Nalala	Dinosauria
Hoʻomana Mohameka	Islam
Kālailau nahele	Botanica
Sofia	Sofia
Kūlanakauhale	Città
Lā	Sole
Kahua o nā hōkū	Sistema solare
Haikokene	Idrogeno
Hiliuma	Elio
Likiuma	Litio
Beryllium	Berillio
Makahiki	Anno
Oslo	Oslo
Likepona	Lisbona
Rhône (kahawai)	Rodano (fiume)
Boron	Boro
Kalepona	Carbonio
Naikokene	Azoto
‘Okikene	Ossigeno
Hōkū hele	Pianeta
Mokekao	Mosca (Russia)
Fluorine	Fluoro
ʻŌlelo ʻĪkālia	Lingua italiana
Nīane	Neon
Sodiuma	Sodio
Makanekiuma	Magnesio
‘Aluminuma	Alluminio
‘Īnia	India
Silikone	Silicio
Pokepola	Fosforo
Sulufura	Zolfo
Kolorine	Cloro
William Shakespeare	William Shakespeare
‘Aragona	Argon
Potasiuma	Potassio
Kalipuna	Calcio (elemento chimico)
Monokolia	Mongolia
Scandium	Scandio
Titanium	Titanio
Vanadium	Vanadio
Maine	Maine
Lio	Equus caballus
Hoʻomana Buda	Buddhismo
Nū Hamekia	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Makakukeka	Massachusetts
Konekikuka	Connecticut
Hawai‘i	Hawaii
Moana ʻĀlika	Mar Glaciale Artico
Heiti	Haiti
‘Ilana	Iran
‘Ilaka	Iraq
‘Ālaka	Alaska
ʻIseraʻela	Israele
Panamā	Panamá
Iemene	Yemen
Ioredāne	Giordania
Pololika	Florida
Kaikikana	Kirghizistan
‘Alikona	Arizona
Kuete	Kuwait
Laosa	Laos
Lepanona	Libano
‘Olekona	Oregon
Maladiwa	Maldive
Uka	Utah
Malaisia	Malesia
Puruma	Birmania
Nepala	Nepal
ʻOmana	Oman
Pakitana	Pakistan
Katala	Qatar
Saudi ʻAlapia	Arabia Saudita
Sililanaka	Sri Lanka
Suria	Siria
Pokémon	Pokémon
Tailani	Thailandia
Wiekanama	Vietnam
‘Apekanikana	Afghanistan
Banagaladesa	Bangladesh
Butana	Bhutan
Brunei	Brunei
ʻĀina Pilipino	Filippine
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tunisia	Tunisia
Beijing	Pechino
Burakina Faso	Burkina Faso
ʻElikilea	Eritrea
Mauritiusa	Mauritius
Iulius Caesar	Gaio Giulio Cesare
Hamepuka	Amburgo
Huli honua	Geologia
Mikikana	Michigan
‘Ilinoe	Illinois
Tulinia	Turingia
Kakoka ‘Ākau	Dakota del Nord
Kakoka Hema	Dakota del Sud
Monekana	Montana
Waiomina	Wyoming
‘Ikahō	Idaho
Wakinekona	Washington (stato)
Moana ʻIniana	Oceano Indiano
Kololako	Colorado
ʻAlepa	Alpi
Kikako, ʻIlinoe	Chicago
‘Ōlelo Sepania	Lingua spagnola
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Wilikinia	Virginia
Wilikinia Komohana	Virginia Occidentale
Nuioka	New York (Stato)
Loke ‘Ailana	Rhode Island
Melelana	Maryland
Kelawea	Delaware
‘Ohaio	Ohio
Penekelewinia	Pennsylvania
Uetersen	Uetersen
Augustus	Augusto
Nū ‘Ieleke	New Jersey
‘Ōlelo Pinilana	Lingua finlandese
‘Inikiana	Indiana
Keokia (‘Amelika Hui Pū ‘ia)	Georgia (Stati Uniti d'America)
Kekeka	Texas
Kalolaina Hema	Carolina del Sud
Seine	Senna
Buenos Aires	Buenos Aires
Mēkiko D.F.	Città del Messico
Mikikipi	Mississippi
Kenekī	Tennessee
Nū Mekiko	Nuovo Messico
‘Akenai	Atene
Minekoka	Minnesota
Wikonekina	Wisconsin
‘Iowa	Iowa
Nepalaka	Nebraska
Kanekaka	Kansas
Mikouli	Missouri
Luikiana	Louisiana
Kenekuke	Kentucky
‘Akanaka	Arkansas
‘Okalahoma	Oklahoma
Makekepuka	Magdeburgo
Reykjavík	Reykjavík
Paipala	Bibbia
Thulium	Tulio
Ka Ho‘omana Iesū ‘Oia‘i‘o	Vera Chiesa di Gesù
‘Ōlelo Pelekania	Lingua inglese
Đồng Hới	Dong Hoi
Concepción, Chile	Concepción (Cile)
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2009	2009
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
Lipekika	Lipsia
1998	1998
1999	1999
Kurów	Kurów
Kemika	Chimica
Makelika	Madrid
Lima	Lima
Santiago de Chile	Santiago del Cile
Quito	Quito
Ankara	Ankara
Riyadh	Riyad
Kamakeko	Damasco
Amman	Amman
Muscat	Mascate
Wikipedia:Sandbox	Wikipedia:Pagina delle prove
Wehimala	Weimar
Osasco	Osasco (San Paolo)
Dong Hoi Airport	Aeroporto di Dong Hoi
Curitiba	Curitiba
Zichyújfalu	Zichyújfalu
Sarah Bernhardt	Sarah Bernhardt
Mauna Kana Helena	Monte Sant'Elena
Mokuhonua	Continente
Kapikala	Capitale (città)
Monzón	Monzón
Almazán	Almazán
Puke noi‘i kū‘ikena	Enciclopedia
Ka papa kinohi	Pagina principale
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo Buonarroti
Pablo Picasso	Pablo Picasso
Raffael Santi	Raffaello Sanzio
Rembrandt	Rembrandt
Frank Lloyd Wright	Frank Lloyd Wright
Matsuo Bashō	Matsuo Bashō
Castille a Leon	Castiglia e León
Meka	La Mecca
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Māhele:Candidates for speedy deletion	Categoria:Cancellare subito
Kaumokuʻāina	Paese (area geografica)
Homer	Omero
Hōʻole Akua	Ateismo
Kālaikaiaola	Ecologia
Kālaiʻāina	Politica
Aupuni	Governo
Qin Shi Huang	Qin Shi Huang
Tolstoi	Lev Tolstoj
Moku‘āina	Stato
ʻŌlelo Lūkini	Lingua russa
‘Ōlelo Pākē	Lingua cinese
Nelson Mandela	Nelson Mandela
Makani Pāhili	Ciclone tropicale
Moʻokalaleo	Letteratura
Māhele:Palani	Categoria:Francia
Oboe	Oboe
ʻOlumepika Kauwela ma 2008	Giochi della XXIX Olimpiade
Granada	Granada
ʻĀtoma	Atomo
Lāpaki	Coniglio
Mohameka	Maometto
Burgos	Burgos (Spagna)
Ronald Reagan	Ronald Reagan
‘Ōlelo Zaza	Lingua zazaki
Māhele:Palakila	Categoria:Brasile
Kumumea kemikala	Elemento chimico
‘Ohe kani	Flauti
ʻAlea	Area
Hulahula	Danza
Papa o nā ʻāina	Stati del mondo
Miranda de Ebro (Burgos)	Miranda de Ebro
Kuli	Sordità
Ponferrada	Ponferrada
Santander	Santander (Spagna)
Helu piha	Numero intero
Malgrat de Mar	Malgrat de Mar
‘Ōlelo ‘Alapia	Lingua araba
Tiranosauru	Tyrannosaurus rex
Terikeratopa	Triceratops
Setegasauru	Stegosaurus
Barakiosauru	Brachiosaurus altithorax
Welokirapetoa	Velociraptor
Hae	Bandiera
‘Ulu	Artocarpus altilis
Aupuni kiwikā	Comune
Salamanca	Salamanca
Zamora (España)	Zamora (Spagna)
León (España)	León (Spagna)
Anakuhi:Link FA	Template:Link V
Welemoneka	Vermont
Houston, Kekeka	Houston
Pēniki	Phoenix (Arizona)
Kakalameko	Sacramento (California)
Honolulu, Hawaiʻi	Honolulu
Kauoha Hou	Nuovo Testamento
Rafael Correa	Rafael Correa
Louvre	Museo del Louvre
‘Ao‘ao Kū‘oko‘a Pokoliko	Partito Indipendentista Portoricano
Kalikimaka	Natale
Mo‘ai	Moai
Hoʻolele hualono	Podcasting
Friedrich Schiller	Friedrich Schiller
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
Pule	Settimana
Cervidae	Cervidae
Pule Alaka‘i A Ka Haku	Padre nostro
Musée d'Orsay	Museo d'Orsay
Mokupuni	Isola
Moshchena	Moščena
ʻōhiʻa lomi	Solanum lycopersicum
Panalā‘au o Quảng Binh	Provincia di Quang Binh
Bryan Cranston	Bryan Cranston
Felidae	Felidae
Pichilemu	Pichilemu
Canidae	Canidae
Karlstad	Karlstad (Svezia)
Mölnlycke	Mölnlycke
Bovidae	Bovidae
Phocidae	Phocidae
ʻAnekelopa	Antilope
‘Amelika	Amerika
Cabañas Raras	Cabañas Raras
Ardón (León)	Ardón
Algadefe	Algadefe
Acebedo	Acebedo
Los Barrios de Luna	Los Barrios de Luna
Fresno de la Vega	Fresno de la Vega
La Antigua (Sepania)	La Antigua
Almanza	Almanza
El Burgo Ranero	El Burgo Ranero
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Alija del Infantado	Alija del Infantado
Brazuelo	Brazuelo
Berlanga del Bierzo	Berlanga del Bierzo
Cabreros del Río	Cabreros del Río
Bercianos del Real Camino	Bercianos del Real Camino
Burón (León)	Burón
Bercianos del Páramo	Bercianos del Páramo
Otariidae	Otariidae
Pinnipedia	Pinnipedia
Zhengzhou	Zhengzhou
Mīkini helu	Calcolatrice
Halakepoka	Hartford
‘Ōlelo Hawai‘i	Lingua hawaiana
Pea kina	Ailuropoda melanoleuca
Pae moku	Arcipelago
Valparaíso	Valparaíso
‘Ōlelo Sāmoa	Lingua samoana
Marlon Brando	Marlon Brando
‘Ōlelo Kahiki	Lingua tahitiana
Wailele ‘o Niakala	Cascate del Niagara
Mošovce	Mošovce
Kauō	Laysan
ʻAperodite	Afrodite
Nā mokuʻāina o ʻAmelika Hui	Stato federato degli Stati Uniti d'America
Pauka niho	Dentifricio
Mineapoli	Minneapolis
Apia	Apia
Brigitte Bardot	Brigitte Bardot
Arancón	Arancón
'ōlelo toki pona	Toki Pona
Paul Gauguin	Paul Gauguin
Teide	Teide
Kālaiʻelala	Entomologia
Ágreda	Ágreda
ʻAnekilosauru	Ankylosaurus magniventris
Waleluka	Odobenus rosmarus
Johannes Vermeer	Jan Vermeer
Teletubbies	Teletubbies
Kahiki	Tahiti
Israel Kamakawiwoʻole	Israel Kamakawiwo'ole
Johnny Cash	Johnny Cash
Nanahana	Ginkgo biloba
Hesioda	Esiodo
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Noceda del Bierzo	Noceda del Bierzo
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Molinaseca	Molinaseca
Congosto	Congosto
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
Sancedo	Sancedo
Josepa Samika	Joseph Smith
Pihemanu	Atollo di Midway
Paris Hilton	Paris Hilton
Palapola	Parabola (geometria)
Helu kumu	Numero primo
Söréd	Söréd
Palencia	Provincia di Palencia
El Royo	El Royo
Reyero	Reyero
La Ercina	La Ercina
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
Santa María del Monte de Cea	Santa María del Monte de Cea
San Cristóbal de la Polantera	San Cristóbal de la Polantera
ʻUkulele	Ukulele
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Hawai‘i (mokupuni)	Isola di Hawaii
Georg Philipp Telemann	Georg Philipp Telemann
ʻUlano	Urano (mitologia)
Coronel Fabriciano	Coronel Fabriciano
Quintana y Congosto	Quintana y Congosto
Matallana de Torío	Matallana de Torío
Pamela Anderson	Pamela Anderson
Gema	Gemma (mineralogia)
Puahōlani	Tulipa
Nikolai Rimsky-Korsakov	Nikolaj Andreevič Rimskij-Korsakov
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Lili‘uokalani	Liliuokalani delle Hawaii
Joey King	Joey King
X-Men	X-Men
Nika	Notte (mitologia)
Mauna Kea	Mauna Kea
O‘ahu	Oahu
Lucillo	Lucillo (Spagna)
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Quintana del Marco	Quintana del Marco
San Millán de los Caballeros	San Millán de los Caballeros
Cubillas de Rueda	Cubillas de Rueda
Cea (León)	Cea (Spagna)
Garrafe de Torío	Garrafe de Torío
Santa María de Ordás	Santa María de Ordás
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Riello	Riello
Palacios de la Valduerna	Palacios de la Valduerna
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Murias de Paredes	Murias de Paredes
Rioseco de Tapia	Rioseco de Tapia
Santa Cristina de Valmadrigal	Santa Cristina de Valmadrigal
Grajal de Campos	Grajal de Campos
Santa María de la Isla	Santa María de la Isla
Campo de Villavidel	Campo de Villavidel
Crémenes	Crémenes
Cimanes del Tejar	Cimanes del Tejar
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Pajares de los Oteros	Pajares de los Oteros
San Pedro Bercianos	San Pedro Bercianos
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Gordaliza del Pino	Gordaliza del Pino
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Matanza (León)	Matanza (Spagna)
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Mansilla Mayor	Mansilla Mayor
Gordoncillo	Gordoncillo
San Esteban de Nogales	San Esteban de Nogales
Regueras de Arriba	Regueras de Arriba
Luyego	Luyego
San Emiliano	San Emiliano
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Magaz de Cepeda	Magaz de Cepeda
Matadeón de los Oteros	Matadeón de los Oteros
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Roperuelos del Páramo	Roperuelos del Páramo
Sonata No. 8 no Piano (Beethoven)	Sonata per pianoforte n. 8 (Beethoven)
ʻĀpana	Distretto
John Singer Sargent	John Singer Sargent
Sesame Street	Sesamo apriti
Aupuni Mōʻī o Hawaiʻi	Regno delle Hawaii
Mauna Loa	Mauna Loa
Pat Hingle	Pat Hingle
Frans Hals	Frans Hals
Pō La‘i Ē	Astro del Ciel
Nuʻuhiwa	Isole Marchesi
Edentata	Xenarthra
Hualālai	Hualālai
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Christopher Lee	Christopher Lee
Knoxville, Kenekī	Knoxville (Tennessee)
Lāna‘i	Lanai
Carl Larsson	Carl Larsson
Kīlauea	Kīlauea
Maui	Maui
Māmā	Tempo (musica)
Christopher Plummer	Christopher Plummer
Ivan Shishkin	Ivan Ivanovič Šiškin
Moloka‘i	Molokai
Nancy Reagan	Nancy Reagan
