Afrik	Africa
Japon	Giappone
Amerik disid	America Meridionale
Nòvèj	Norvegia
Angletè	Inghilterra
Ekòs	Scozia
Gal	Galles
Ilann dinò	Irlanda del Nord
Ilann	Irlanda
Ongri	Ungheria
Espay	Spagna
Etazini	Stati Uniti d'America
Bèljik	Belgio
Liksanbou (peyi)	Lussemburgo
Linivè	Universo
Latè	Terra
Lavi	Vita
Lanmò	Morte
Homo sapiens	Homo sapiens
George Washington	George Washington
Fenlann	Finlandia
Syèd	Svezia
Danmak	Danimarca
Polòy	Polonia
Lityani	Lituania
Itali	Italia
Swis	Svizzera
Otrich	Austria
Grès	Grecia
Tiki	Turchia
Byè	Birra
Pòtigal	Portogallo
Ewòp	Europa
Azi	Asia
Amerik dinò	America del Nord
Antatik (kontinan)	Antartide
Wikipedya	Wikipedia
Peyiba	Paesi Bassi
Nouyòk	New York
Wachintòn	Washington
San Francisco, Kalifòni	San Francisco
Bèlen	Berlino
Los Angeles, Kalifòni	Los Angeles
Òdinatè	Computer
Bèn	Berna
Zirik	Zurigo
Entènet	Internet
Barack Obama	Barack Obama
Irigwe	Uruguay
Lonn	Londra
Li Kè	Il Cairo
Alexandria, Vijini	Alexandria (Virginia)
Pòm	Mela
Pari	Parigi
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Meksik	Messico
Atlantik	Oceano Atlantico
Pasifik	Oceano Pacifico
Kalifòni	California
Boston, Massachusetts	Boston
Lendi	Lunedì
Janvye	Gennaio
Fevriye	Febbraio
Mas (mwa)	Marzo
Mas (planèt)	Marte (astronomia)
Kenya	Kenya
Etyopi	Etiopia
Gana	Ghana
Avril	Aprile
Me	Maggio
Jen	Giugno
Jiyè	Luglio
Out	Agosto
Septanm	Settembre
Oktòb	Ottobre
Novanm	Novembre
Desanm	Dicembre
Madi	Martedì
Mèkredi	Mercoledì
Jedi	Giovedì
Vandredi	Venerdì
Samdi	Sabato
Dimanch	Domenica
Lyon	Panthera leo
Frans	Francia
Chen	Canis lupus familiaris
Wayòm Ini	Regno Unito
Chat	Felis silvestris catus
Lang franse	Lingua francese
Pwason	Pesce
Brezil	Brasile
Alkòl	Alcoli
Risi	Russia
Balèn	Cetacea
Kare	Quadrato
Lanmè	Mare
Pi (matematik)	Pi greco
Π	Pi (lettera greca)
Alabama	Alabama
São Paolo	San Paolo (Brasile)
Kebèk	Québec (provincia)
Almay	Germania
Byelorisi	Bielorussia
Alman	Lingua tedesca
Islann	Islanda
Bondye	Dio
Estoni	Estonia
Satin	Saturno (astronomia)
Seriz	Ciliegia
Avyon	Aeroplano
Lagè	Guerra
1 (nonm)	1 (numero)
2 (nonm)	2 (numero)
3 (nonm)	3 (numero)
4 (nonm)	4 (numero)
5 (nonm)	5 (numero)
0 (nonm)	0 (numero)
Rektang	Rettangolo
Letoni	Lettonia
Ikrèn	Ucraina
Tchèki	Repubblica Ceca
Slovaki	Slovacchia
Sloveni	Slovenia
Vilnis	Vilnius
Moldavi	Moldavia
Woumani	Romania
Bilgari	Bulgaria
Ròm	Roma
Repiblik d Masedoni	Repubblica di Macedonia
Albani	Albania
Kroasi	Croazia
Bosni ak Erzegovin	Bosnia ed Erzegovina
Azerbaydjan	Azerbaigian
Andora	Andorra
Chip	Cipro
Jeoji	Georgia
Kazakstan	Kazakistan
Malt	Malta
Monako (kapital)	Principato di Monaco
Montenegwo	Montenegro
Vatikan	Città del Vaticano
Sen Maren (peyi)	San Marino
Briksèl	Regione di Bruxelles-Capitale
Kiba	Cuba
Beliz	Belize
Lababad	Barbados
Java	Java (linguaggio di programmazione)
Endonezi	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	Sudafrica
Aljeri	Algeria
Ouzbekistan	Uzbekistan
Tachkènt	Tashkent
Vasovi	Varsavia
Diven	Vino
Dlo	Acqua
Kwi	Cuoio
Bwa	Legno
Chili	Cile
Jezi	Gesù
Galileo Galilei	Galileo Galilei
Mèki (planèt)	Mercurio (astronomia)
Istwa	Storia
Apple	Apple
Venis (planèt)	Venere (astronomia)
Lang (pawòl)	Linguaggio
Galaksi	Galassia
Jipitè (planèt)	Giove (astronomia)
Teyori big-bang	Big Bang
Iranis	Urano (astronomia)
Neptin (planèt)	Nettuno (astronomia)
Astwonomi	Astronomia
Sengapou (peyi)	Singapore
Syans	Scienza
Pliton	Plutone (astronomia)
Monreyal (komin)	Montréal
Avni	Futuro
Lichtènstayn	Liechtenstein
Espò (divètisman)	Sport
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu
Skopje	Skopje
Linux	Linux
Matematik	Matematica
Barayn	Bahrein
Ameni	Armenia
Sèbi	Serbia
Lalin	Luna
Istanboul	Istanbul
Ostrali	Australia
Bob Marley	Bob Marley
Fizik	Fisica
Ajantin	Argentina
Telekominikasyon	Telecomunicazione
Pewou	Perù
Biyoloji	Biologia
Kore dinò	Corea del Nord
Kanbòdj	Cambogia
Dinozò	Dinosauria
Islamis	Islam
Lyoubyana	Lubiana
Etid plant	Botanica
Rou	Ruota
Lapè	Pace
Lyon (vil)	Lione
Inyon Ewopeyèn	Unione europea
Fanm	Donna
Sofia	Sofia
Zanmi	Amicizia
Anis (anatomi)	Ano
Sitron	Citrus × limon
Bannann	Banana
666 (almanak jilyen)	666
Flè	Fiore
Vil	Città
Napoléon Bonaparte	Napoleone Bonaparte
Etwal	Stella
Solèy	Sole
Syèl	Cielo
Ane-limyè	Anno luce
Victor Hugo	Victor Hugo
Oseyani	Oceania
Atletis	Atletica leggera
Sistèm solè	Sistema solare
Idwojèn	Idrogeno
Elyòm	Elio
Lityòm	Litio
Berilyòm	Berillio
Liv (pou li)	Libro
Jou (Tan)	Giorno
Timò oryantal	Timor Est
Nwit	Notte
Lane	Anno
Syèk	Secolo
Oslo	Oslo
Twou nwa	Buco nero
Lisbòn	Lisbona
Ichiro Suzuki	Ichiro Suzuki
Kabòn	Carbonio
Azòt	Azoto
Oksijèn	Ossigeno
Planèt	Pianeta
Mizik	Musica
Tèmomèt	Termometro
Moskou	Mosca (Russia)
Fliyò	Fluoro
Neyon	Neon
Saint-Pétersbourg	San Pietroburgo
Tchad	Ciad
Sodyòm	Sodio
Nò	Nord
Manyezyòm	Magnesio
Aliminyòm	Alluminio
Nouvèl Zelann	Nuova Zelanda
Sid	Sud
End	India
Silisyòm	Silicio
Fransyòm	Francio
Touvalou	Tuvalu
Fosfò	Fosforo
André-Marie Ampère	André-Marie Ampère
Fè	Ferro
Tonga	Tonga
Lwès	Ovest
Alessandro Volta	Alessandro Volta
Souf	Zolfo
Samoa	Samoa
Lès	Est
Salomon	Isole Salomone
Vanwatou	Vanuatu
Molière	Molière
Klò	Cloro
Papwazi-Nouvèl-Gine	Papua Nuova Guinea
William Shakespeare	William Shakespeare
Palao	Palau (stato)
Agon	Argon
Naorou	Nauru
Mikwonezi (peyi)	Stati Federati di Micronesia
Potasyòm	Potassio
Kalsyòm	Calcio (elemento chimico)
Plon	Piombo
Machal	Isole Marshall
Kiribès	Kiribati
Mongoli	Mongolia
Fidji	Figi
Skandyòm	Scandio
Titàn	Titanio
Venezwela	Venezuela
Echèk	Scacchi
Vanadyòm	Vanadio
Mèn	Maine
Kwòm	Cromo
Cheval	Equus caballus
Amstèdam	Amsterdam
Zam	Arma
Zannimo	Animalia
Sirinam	Suriname
Manganèz	Manganese
Paragwe	Paraguay
Giyàn	Guyana
La (aktivite)	Arte
Ekwatè (peyi)	Ecuador
Kolonbi	Colombia
Nikèl	Nichel
Frèz	Fragaria
Boudis	Buddhismo
Bolivi	Bolivia
Kwiv	Rame
Trinidad ak Tobago	Trinidad e Tobago
Plant	Plantæ
Sen Vensan ak Grenadin	Saint Vincent e Grenadine
Zenk	Zinco
Nou Anpchi	New Hampshire
Sent Lisi	Santa Lucia (Stato)
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	Saint Kitts e Nevis
Chanpiyon	Fungi
Jamayik	Giamaica
Grenad	Grenada
Masachosèt	Massachusetts
Gwatemala	Guatemala
Google chrome	Google Chrome
Bahamas	Bahamas
Konèktikòt	Connecticut
Antigwa ak Babouda	Antigua e Barbuda
Awayi	Hawaii
Ondiras	Honduras
Dominik	Dominica
Dominikani	Repubblica Dominicana
Kochon	Sus scrofa domesticus
Aktik	Mar Glaciale Artico
Ayiti	Haiti
Salvadò	El Salvador
Iran	Iran
Irak	Iraq
Alaska	Alaska
Kostarika	Costa Rica
Izrayèl	Israele
Panama (peyi)	Panamá
Yemèn	Yemen
Viris	Virus (biologia)
Jòdani	Giordania
Nikaragwa	Nicaragua
Florid	Florida
Kirgistan	Kirghizistan
Arizona	Arizona
Kowet	Kuwait
Laos	Laos
Liban	Libano
Oregon	Oregon
Maldiv	Maldive
Amerik	America
Youta	Utah
Malezi	Malesia
Bimani	Birmania
Nepal	Nepal
Omàn	Oman
Pakistan	Pakistan
Katar	Qatar
Tenis	Tennis
Arabi Sawoudit	Arabia Saudita
Srilanka	Sri Lanka
Siri	Siria
Platon	Platone
Galyòm	Gallio (elemento chimico)
Tadjikistan	Tagikistan
Jèmanyòm	Germanio
Aristotle	Aristotele
Tayilann	Thailandia
Asenik	Arsenico
Tirkmenistan	Turkmenistan
Selenyòm	Selenio
Iridyòm	Iridio
Emira Arab Ini	Emirati Arabi Uniti
Bwòm	Bromo
Platin	Platino
Vyetnam	Vietnam
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	Corea del Sud
Les Simpson	I Simpson
Kripton	Kripton
Afganistan	Afghanistan
Lò	Oro
Bangladèch	Bangladesh
Mali	Mali
Angola	Angola
Boutan	Bhutan
Brouney	Brunei
Tanzani	Tanzania
Mèki (eleman chimik)	Mercurio (elemento chimico)
Filipin	Filippine
Repiblik santafrik	Repubblica Centrafricana
Talyòm	Tallio
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estwontyòm	Stronzio
Nakotik	Narcotico
Bismit	Bismuto
Jòn	Giallo
Togo	Togo
Donald Tusk	Donald Tusk
Tinizi	Tunisia
John Bardeen	John Bardeen
Zanbi	Zambia
Zimbabwe	Zimbabwe
Peken	Pechino
Benen	Benin
Botswana	Botswana
Boukinafaso	Burkina Faso
