Afríka	Africa
Japan	Giappone
Suður-Ameríka	America Meridionale
Noregur	Norvegia
England	Inghilterra
Skotland	Scozia
Wales	Galles
Norður-Írland	Irlanda del Nord
Írska lýðveldið	Irlanda
Ungverjaland	Ungheria
Spánn	Spagna
Bandaríkin	Stati Uniti d'America
Belgía	Belgio
Lúxemborg	Lussemburgo
Alheimurinn	Universo
Jörðin	Terra
Líf	Vita
Dauði	Morte
Maður	Homo sapiens
Hamingja	Felicità
George Washington	George Washington
Jack Bauer	Jack Bauer
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
L33t	Leet
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Finnland	Finlandia
Svíþjóð	Svezia
Danmörk	Danimarca
Pólland	Polonia
Litháen	Lituania
Ítalía	Italia
Sviss	Svizzera
Austurríki	Austria
Grikkland	Grecia
Tyrkland	Turchia
Bjór (öl)	Birra
Portúgal	Portogallo
Evrópa	Europa
Asía	Asia
Norður-Ameríka	America del Nord
Suðurskautslandið	Antartide
Wikipedia	Wikipedia
Holland	Paesi Bassi
Getnaðarlimur	Pene
PHP	PHP
New York-borg	New York
Washington (borg)	Washington
San Francisco	San Francisco
Berlín	Berlino
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Tölva	Computer
Bern	Berna
Genf	Ginevra
Zürich	Zurigo
Internet Relay Chat	Internet Relay Chat
Internetið	Internet
Barack Obama	Barack Obama
Úrúgvæ	Uruguay
Basel	Basilea
Prentari (tölvufræði)	Stampante
London	Londra
Kaíró	Il Cairo
Höfuðverkur	Cefalea
Alexandría	Alessandria d'Egitto
Epli	Mela
París	Parigi
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google Inc.
Mexíkó	Messico
Atlantshaf	Oceano Atlantico
Kyrrahaf	Oceano Pacifico
Kalifornía	California
Boston	Boston
Mánudagur	Lunedì
Janúar	Gennaio
Febrúar	Febbraio
Mars (mánuður)	Marzo
Mars (reikistjarna)	Marte (astronomia)
Mars (guð)	Marte (divinità)
Kenía	Kenya
Eþíópía	Etiopia
Konungur	Monarca
Gana	Ghana
Apríl	Aprile
Maí	Maggio
Júní	Giugno
Júlí	Luglio
Ágúst	Agosto
September	Settembre
Október	Ottobre
Nóvember	Novembre
Desember	Dicembre
Þriðjudagur	Martedì
Miðvikudagur	Mercoledì
Fimmtudagur	Giovedì
Föstudagur	Venerdì
Laugardagur	Sabato
Sunnudagur	Domenica
Ljón	Panthera leo
Frakkland	Francia
Esperanto	Lingua esperanto
Hundur	Canis lupus familiaris
Bretland	Regno Unito
Köttur	Felis silvestris catus
Alþýðulýðveldið Kína	Cina
Franska	Lingua francese
Wikiorðabókin	Wikizionario
Fiskur	Pesce
Etanól	Etanolo
Áfengi	Bevanda alcolica
Brasilía	Brasile
Alkóhól	Alcoli
François Hollande	François Hollande
Rússland	Russia
Hvalir	Cetacea
Trefjar	Fibra tessile
Yorkshire	Yorkshire
Ferningur	Quadrato
Sjór	Mare
Svartahaf	Mar Nero
Pí	Pi greco
Pí (bókstafur)	Pi (lettera greca)
Wiki	Wiki
Torontó	Toronto
Alabama	Alabama
São Paulo	San Paolo (Brasile)
Québec	Québec (provincia)
Pizza	Pizza
Pasta	Pasta
Boeing 747	Boeing 747
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Þýskaland	Germania
Hvíta-Rússland	Bielorussia
Il Canto degli Italiani	Il Canto degli Italiani
Þýska	Lingua tedesca
Ísland	Islanda
Guð	Dio
Eistland	Estonia
David Cameron	David Cameron
Satúrnus (reikistjarna)	Saturno (astronomia)
Súkkulaði	Cioccolato
Kirsuber	Ciliegia
Flugvél	Aeroplano
Stríð	Guerra
Einn	1 (numero)
Tveir	2 (numero)
Þrír	3 (numero)
Fjórir	4 (numero)
Fimm	5 (numero)
Núll	0 (numero)
Óendanleiki	Infinito (matematica)
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Rétthyrningur	Rettangolo
Rétt horn	Angolo retto
Lettland	Lettonia
Úkraína	Ucraina
Tékkland	Repubblica Ceca
Slóvakía	Slovacchia
Slóvenía	Slovenia
Vilníus	Vilnius
Moldóva	Moldavia
Rúmenía	Romania
Búlgaría	Bulgaria
Róm	Roma
Lýðveldið Makedónía	Repubblica di Macedonia
Albanía	Albania
Grænland	Groenlandia
Króatía	Croazia
Bosnía og Hersegóvína	Bosnia ed Erzegovina
Nuuk	Nuuk
Aserbaídsjan	Azerbaigian
Andorra	Andorra
Kýpur	Cipro
Georgía	Georgia
Kasakstan	Kazakistan
Malta	Malta
Flæmingjaland	Fiandre
Mónakó	Principato di Monaco
Svartfjallaland	Montenegro
Vatíkanið	Città del Vaticano
San Marínó	San Marino
Brussel	Regione di Bruxelles-Capitale
Kúba	Cuba
Belís	Belize
Eiffelturninn	Torre Eiffel
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Intel Corporation	Intel
Þráðlaus samskipti	Wireless
Lyklaborð	Tastiera (informatica)
Java (forritunarmál)	Java (linguaggio di programmazione)
Indónesía	Indonesia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
