ᐊᑉᕆᖄ	Africa
ᓃᑉᐊᓐ	Giappone
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	America Meridionale
ᓄᕐᒋ/nurgi	Norvegia
ᓯᐸᐃᓐ	Spagna
ᐊᒥᐊᓕᑲ	Stati Uniti d'America
ᓄᓇ	Terra
ᐄᒃ	Homo sapiens
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Svezia
ᐳᓚᓐᑦ	Polonia
ᓕᐋᑐᕙ	Lituania
Italy	Italia
ᐃᐆᕌᑉ	Europa
ᐊᓰᐊ	Asia
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	America del Nord
ᐅᐃᑭᐱᑎᐊ	Wikipedia
ᐅᓱᒃ	Pene
ᐱᕐᓖᓐ	Berlino
ᖃᕋᓴᐅᔭᖅ	Computer
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Mela
ᒎᒐᓪ	Google Inc.
ᒦᒃᓰᖂ	Messico
ᑳᓖᐴᕐᓃᐊ	California
ᒧᓇᑖᒃ	Lunedì
ᔭᓐᓄᐊᓕ	Gennaio
ᕕᐳᐊᕆ	Febbraio
ᓇᑦᓯᐊᓕᐅᑦ	Marzo
ᐊᐃᐳᕆᓪ	Aprile
ᒪᐃ	Maggio
ᔪᓂ	Giugno
ᔪᓚᐃ	Luglio
ᐊᐅᒍᔅ	Agosto
ᓯᑎᒻᐳᕆ	Settembre
ᐅᒃᑐᐳᕆ	Ottobre
ᓄᕕᒻᐳᕆ	Novembre
ᑎᓯᒻᐳᕆ	Dicembre
ᐃᓯᐱᕋᓐᑐ	Lingua esperanto
ᕿᖕᒥᖅ	Canis lupus familiaris
China	Cina
ᐅᐃᒍᐃᕐᒥᐅᖅ	Lingua francese
ᐃᖃᓗᒃ	Pesce
ᐊᖓᔮᕐᓇᖅᑐᖅ	Bevanda alcolica
ᐅᓛᓴ	Russia
ᐊᕐᕕᒃ	Cetacea
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Québec (provincia)
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Germania
ᑎᖕᒥᓲᖅ	Aeroplano
ᐊᑭᕋᖅᑑᑎᔪᑦ	Guerra
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Groenlandia
ᖂᐹ/quupaa	Cuba
ᐄᓅᓯᐊ	Indonesia
ᓯᓕ	Cile
ᐱᐅᓕᑦᓯᔨ	Gesù
ᒥᕐᑰᕆ	Mercurio (astronomia)
ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ	Storia
ᕖᓄᔅ	Venere (astronomia)
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ	Amore
ᐅᕌᓄᔅ	Urano (astronomia)
ᓂᑉᑑᓐ	Nettuno (astronomia)
ᓯᓚᓯᐅᕐᓂᖅ	Astronomia
ᑉᓘᑐ	Plutone (astronomia)
ᒧᕆᐊᓪ	Montréal
ᑕᖅᑭᖅ	Luna
ᐊᔅᑦᕌᓕᐊ	Australia
ᐆᒫᑦᓱᓕᕆᓂᖅ/umatsuliriniq	Fisica
ᐱᕉ	Perù
ᐆᒪᔅᓱᓯᖃᕐᑐᓕᕆᓂᖅ	Biologia
ᐊᖏᐋᕐᓂᖅ	Feci
ᐃᑎᖅ	Ano
ᐱᕈᖅᑐᓴᔭᖅ/piruqtusajaq	Fiore
ᓄᓇᓖᑦ	Città
ᐅᓪᓗᕆᐊᖅ	Stella
ᓯᕿᓂᖅ	Sole
ᕿᓚᒃ	Cielo
ᐅᓯᐋᓂᐊ	Oceania
ᕿᒥᕐᕈᐊᑦ/qimirruat	Libro
ᖃᐅ	Giorno
ᐅᑭᐅᖅ	Anno
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ ᐊᑯᓐᓂᖓᓐᓂ ᒪᒡᒎᒃ ᐊᖑᑦ	Gay
ᒨᔅᑯ	Mosca (Russia)
ᐃᓐᑎᐊ	India
ᓂᕐᔪᑦ	Animalia
ᐱᕈᖅᑐᖅ	Plantæ
ᒫᓵᓲᓰᑦᔅ	Massachusetts
ᐊ'ᐊ'ᐋᒃ	Gallus gallus domesticus
ᐃᕉᒃ	Iraq
ᐊᓛᓯᑲ	Alaska
