Afelika	Africa
Japan	Giappone
Norge	Norvegia
Hongrie	Ungheria
Espania	Spagna
Belezi	Belgio
Luxembourg	Lussemburgo
Ntoto	Terra
Muntu	Homo sapiens
Finlandi	Finlandia
Suedi	Svezia
Danemark	Danimarca
Pologne	Polonia
Lietuva	Lituania
Italia	Italia
Suisi	Svizzera
Autriche	Austria
Gelesi	Grecia
Turki	Turchia
Mputulukesi	Portogallo
Mputu	Europa
Azia	Asia
Pays-Bas	Paesi Bassi
Berlin	Berlino
Ludinatelo	Computer
Paris	Parigi
Kenya	Kenya
Itiopia	Etiopia
Gana	Ghana
Nkosi	Panthera leo
Fwalansa	Francia
Royaume-Uni	Regno Unito
Nyawu	Felis silvestris catus
Sina	Cina
Kifalanse	Lingua francese
Brazil	Brasile
François Hollande	François Hollande
Rusia	Russia
Kalunga	Mare
Alemanyi	Germania
Belarusia	Bielorussia
Kidoitce	Lingua tedesca
Islande	Islanda
Estonia	Estonia
Ndèke	Aeroplano
Vita	Guerra
4 (ntalu)	4 (numero)
Latvia	Lettonia
Uklenyi	Ucraina
République tchèque	Repubblica Ceca
Slovakia	Slovacchia
Slovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldavia
Romania	Romania
Balgaria	Bulgaria
Roma	Roma
Makedonia	Repubblica di Macedonia
Albania	Albania
Kroatia	Croazia
Bosna	Bosnia ed Erzegovina
Azerbaidjan	Azerbaigian
Andora	Andorra
Kipros	Cipro
Kazakhstan	Kazakistan
Malta	Malta
Monako	Principato di Monaco
Monte Negro	Montenegro
Vatican	Città del Vaticano
Saint-Marin	San Marino
Repubilika ya Afelika ya Sudi	Sudafrica
Algeria	Algeria
Uzbekistan	Uzbekistan
Maza	Acqua
Chile	Cile
Yesu	Gesù
Ndinga	Linguaggio
Kizabu	Scienza
Liechtenstein	Liechtenstein
Ubuntu	Ubuntu
Skopje	Skopje
Kilatini	Lingua latina
Bahrain	Bahrein
Armenia	Armenia
Serbie	Serbia
Australia	Australia
Fizika	Fisica
Kisilamu	Islam
Dinu	Dente
Mweta	Pianeta
Moskva	Mosca (Russia)
Saint Petersburg	San Pietroburgo
Tasadi	Ciad
Nôde	Nord
India	India
Kibende	Ferro
Kibulu	Animalia
Mutako	Rame
Ayiti	Haiti
Iran	Iran
Israel	Israele
Jordan	Giordania
Kuwait	Kuwait
Amelika	America
Oman	Oman
Qatar	Qatar
Lukalu	Treno
Vietnam	Vietnam
Wolo	Oro
Mali	Mali
Ngola	Angola
Tanzania	Tanzania
Repubilika ya Afelika ya Kati	Repubblica Centrafricana
Togo	Togo
Tunisia	Tunisia
Zambia	Zambia
Zimbabwe	Zimbabwe
Beijing (kizunga)	Pechino
Sudan ya Sudi	Sudan del Sud
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoro	Comore
Repubilika ya Kôngo	Repubblica del Congo
Repubilika ya Kôngo ya Dimokalasi	Repubblica Democratica del Congo
Djibuti	Gibuti
Bavaria	Baviera
Ginea ya Ekwatelo	Guinea Equatoriale
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Ngabu	Gabon
Gambia	Gambia
Ginea	Guinea
Ginea-Bisau	Guinea-Bissau
Côte d'Ivoire	Costa d'Avorio
Kamerun	Camerun
Kap Verde	Capo Verde
Lesotho	Lesotho
Liberia	Liberia
Libia	Libia
Malagasi	Madagascar
Malawi	Malawi
Stuttgart	Stoccarda
Moritania	Mauritania
Mauritius	Mauritius
Maroko	Marocco
Musambiki	Mozambico
Namibia	Namibia
Nijer	Niger
Nizeria	Nigeria
Uganda	Uganda
Rwanda	Ruanda
Santu Tome na Prinsipe	São Tomé e Príncipe
Senangale	Senegal
Seychell	Seychelles
Sierra Leone	Sierra Leone
Sômâlia	Somalia
Sudan	Sudan
Swati	Swaziland
Hamburg	Amburgo
Langi	Colore
Prague	Praga
Bule	Blu
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Meclemburgo-Pomerania Anteriore
Niedersachsen	Bassa Sassonia
Nordrhein-Westfalen	Renania Settentrionale-Vestfalia
Hessen	Assia
Rheinland-Pfalz	Renania-Palatinato
Saarland	Saarland
Sachsen	Sassonia
Thüringen	Turingia
Sachsen-Anhalt	Sassonia-Anhalt
Brandenburg	Brandeburgo
Bremen (kizunga)	Brema (stato)
Kalasi:Categories	Categoria:Categorie
Kispanya	Lingua spagnola
Mbuma	Frutto
Uetersen	Uetersen
Tomabîlu	Autovettura
Bordo	Bordeaux
Barcelona	Barcellona
Nanasi	Ananas comosus
Kihindi	Lingua hindi
Potsdam	Potsdam
Munich	Monaco di Baviera
Stockholm	Stoccolma
Vaduz	Vaduz
Biblia	Bibbia
Ho Chi Minh City	Ho Chi Minh (città)
Dibundu ya Kieleka ya Yesu	Vera Chiesa di Gesù
Kingelezi	Lingua inglese
Đồng Hới	Dong Hoi
Concepción	Concepción (Cile)
Końskowola	Końskowola
1917	1917
Kurów	Kurów
1971	1971
1969	1969
Santiago de Chile	Santiago del Cile
Loire-Atlantique	Loira Atlantica
Ain (kizunga)	Ain
Aisne (kizunga)	Aisne
Vosges (kizunga)	Vosgi (dipartimento)
Allier (kizunga)	Allier
Jura (kizunga)	Giura (dipartimento)
Hautes-Alpes	Alte Alpi
Alpes-de-Haute-Provence	Alpi dell'Alta Provenza
Alpes-Maritimes	Alpi Marittime (dipartimento)
Ardèche (kizunga)	Ardèche
Ardennes (kizunga)	Ardenne (dipartimento)
Ariège (kizunga)	Ariège
Aube (kizunga)	Aube
Aude (kizunga)	Aude
Aveyron (kizunga)	Aveyron
Bouches-du-Rhône	Bocche del Rodano (dipartimento)
Calvados (kizunga)	Calvados
Cantal (kizunga)	Cantal
Charente (kizunga)	Charente
Charente-Maritime	Charente Marittima
Cher (kizunga)	Cher (dipartimento)
Corrèze (kizunga)	Corrèze
Haute-Corse	Alta Corsica
Corse-du-Sud	Corsica del Sud
Côte-d'Or	Côte-d'Or
Côtes-d'Armor	Côtes-d'Armor
Creuse (kizunga)	Creuse
Dordogne (kizunga)	Dordogna
Doubs (kizunga)	Doubs (dipartimento)
Drôme (kizunga)	Drôme
Essonne (kizunga)	Essonne
Eure (kizunga)	Eure
Eure-et-Loir	Eure-et-Loir
Finistère	Finistère
Nilo	Nilo
Nzâdi Kôngo	Congo (fiume)
Adis Abeba	Addis Abeba
Ndjamena	N'Djamena
Bamako	Bamako
Chiguayante	Chiguayante
Guyane	Guyana francese
Chillán	Chillán
Abuja	Abuja
