Африк	Africa
Япон	Giappone
Өмнөд Америк	America Meridionale
Норвеги	Norvegia
Англи	Inghilterra
Шотланд	Scozia
Уэльс	Galles
Умард Ирланд	Irlanda del Nord
Ирланд	Irlanda
Унгар	Ungheria
Испани	Spagna
Америкийн Нэгдсэн Улс	Stati Uniti d'America
Бельги	Belgio
Люксембург	Lussemburgo
Орчлон	Universo
Дэлхий	Terra
Амьдрал	Vita
Үхэл	Morte
Хүн	Homo sapiens
Жорж Вашингтон	George Washington
Тим Бернерс-Ли	Tim Berners-Lee
Стэнли Кубрик	Stanley Kubrick
Финланд	Finlandia
Швед	Svezia
Дани	Danimarca
Польш	Polonia
Литва	Lituania
Итали	Italia
Швейцари	Svizzera
Австри	Austria
Грек	Grecia
Турк	Turchia
Шар айраг	Birra
Португал улс	Portogallo
Европ	Europa
Ази	Asia
Хойд Америк	America del Nord
Антарктид	Antartide
Википедиа	Wikipedia
Нидерланд	Paesi Bassi
PHP	PHP
Нью-Йорк хот	New York
Вашингтон хот	Washington
Сан-Франциско	San Francisco
Берлин	Berlino
Лос-Анжелес	Los Angeles
Боинг	Boeing
Компьютер	Computer
Берн	Berna
Женев	Ginevra
Цюрих хот	Zurigo
Интернэт	Internet
Барак Обама	Barack Obama
Уругвай	Uruguay
Базель хот	Basilea
Хэвлүүр	Stampante
Лондон	Londra
Каир	Il Cairo
Александрия	Alessandria d'Egitto
Алим	Mela
Парис	Parigi
Абрахам Линкольн	Abraham Lincoln
Андройд (үйлдлийн систем)	Android
Google	Google Inc.
Мексик	Messico
Атлантын далай	Oceano Atlantico
Номхон далай	Oceano Pacifico
Калифорни	California
Даваа гараг	Lunedì
Огторгуй	Spazio (fisica)
1 сар	Gennaio
2 сар	Febbraio
Ангараг	Marte (astronomia)
Кени	Kenya
Этиоп	Etiopia
Ван	Monarca
Гана	Ghana
Мягмар гараг	Martedì
Лхагва гараг	Mercoledì
Баасан гараг	Venerdì
Бямба гараг	Sabato
Ням гараг	Domenica
Тэмээ (шатар)	Alfiere (scacchi)
Хүү (шатар)	Pedone (scacchi)
Морь (шатар)	Cavallo (scacchi)
Тэрэг (шатар)	Torre (scacchi)
Ноён (шатар)	Re (scacchi)
Бэрс	Donna (scacchi)
Арслан	Panthera leo
Франц	Francia
Эсперанто	Lingua esperanto
Нохой	Canis lupus familiaris
Их Британи	Regno Unito
Муур	Felis silvestris catus
Бүгд Найрамдах Хятад Ард Улс	Cina
Франц хэл	Lingua francese
Этанол	Etanolo
Бразил	Brasile
Оросын Холбооны Улс	Russia
Халим	Cetacea
Квадрат	Quadrato
Тэнгис	Mare
Хар тэнгис	Mar Nero
Пи	Pi greco
Вики	Wiki
Торонто	Toronto
Алабама	Alabama
Сан-Паулу	San Paolo (Brasile)
Сан-Паулу муж	San Paolo (stato)
Кэбэк	Québec (provincia)
Пицца	Pizza
Жимми Уэйлс	Jimmy Wales
Герман	Germania
Беларусь	Bielorussia
Герман хэл	Lingua tedesca
Исланд	Islanda
Бурхан	Dio
Эстон	Estonia
Дэвид Кэмерон	David Cameron
Санчир	Saturno (astronomia)
Шоколад	Cioccolato
Интоор	Ciliegia
Нисэх онгоц	Aeroplano
Дайн	Guerra
2 (тоо)	2 (numero)
3 (тоо)	3 (numero)
Хязгааргүй	Infinito (matematica)
Стивен Харпер	Stephen Harper
Жорж Уокер Буш	George W. Bush
Латви	Lettonia
Украин	Ucraina
Чех	Repubblica Ceca
Словак	Slovacchia
Словен	Slovenia
Молдав	Moldavia
Румын	Romania
Болгар улс	Bulgaria
Ром	Roma
Бүгд Найрамдах Македон Улс	Repubblica di Macedonia
Албани	Albania
Гренланд	Groenlandia
Хорват	Croazia
Босни ба Херцеговина	Bosnia ed Erzegovina
Нуук	Nuuk
Азербайжан	Azerbaigian
Андорра	Andorra
Кипр	Cipro
Гүрж	Georgia
Казахстан	Kazakistan
Мальт	Malta
Монако	Principato di Monaco
Ватикан	Città del Vaticano
Сан-Марино	San Marino
Брюссель	Regione di Bruxelles-Capitale
Куба	Cuba
Белиз	Belize
Эйфелийн цамхаг	Torre Eiffel
Барбадос	Barbados
Intel	Intel
Компьютерийн гар	Tastiera (informatica)
Java	Java (linguaggio di programmazione)
Индонез	Indonesia
QWERTY	QWERTY
Вольфганг Амадей Моцарт	Wolfgang Amadeus Mozart
Людвиг ван Бетховен	Ludwig van Beethoven
Түрк хэл бичиг	Lingua turca
Өмнөд Африкийн Бүгд Найрамдах Улс	Sudafrica
Линкин Парк	Linkin Park
Алжир	Algeria
Узбек улс	Uzbekistan
Ташкент	Tashkent
Варшав	Varsavia
Модена	Modena
Дарс	Vino
Ус	Acqua
Коньяк	Cognac (distillato)
Телевиз	Televisione
Диего Веласкес	Diego Velázquez
Чили	Cile
Есүс Христ	Gesù
Элвис Пресли	Elvis Presley
Галилео Галилей	Galileo Galilei
Буд	Mercurio (astronomia)
Түүх	Storia
Apple компани	Apple
Сугар	Venere (astronomia)
Хэл	Linguaggio
Хайр	Amore
Дарангуйлал	Dittatura
Галактик	Galassia
Бархасбадь	Giove (astronomia)
Тэнгэрийн заадас	Via Lattea
Их Тэсрэлт	Big Bang
Тэнгэрийн ван	Urano (astronomia)
Англи Википедиа	Wikipedia in inglese
Николя Саркози	Nicolas Sarkozy
Далайн ван	Nettuno (astronomia)
Одон орон	Astronomia
Сингапур	Singapore
Шинжлэх ухаан	Scienza
Космологи	Cosmologia (astronomia)
Дэлхийн ван	Plutone (astronomia)
Лихтенштейн	Liechtenstein
Спорт	Sport
Адольф Гитлер	Adolf Hitler
Facebook	Facebook
Дэлхийн нэгдүгээр дайн	Prima guerra mondiale
Дэлхийн хоёрдугаар дайн	Seconda guerra mondiale
Кёльн	Colonia (Germania)
Аугусто Пиночет	Augusto Pinochet
Үбүнтү	Ubuntu
Линукс	Linux
Боб Дилан	Bob Dylan
Математик	Matematica
Латин хэл	Lingua latina
Бахрейн	Bahrein
Армен	Armenia
Хигсийн босон (цөмийн физик)	Bosone di Higgs
Серби	Serbia
Сар	Luna
Стамбул / Истанбул	Istanbul
Австрали	Australia
Физик	Fisica
Аргентин	Argentina
Перу	Perù
Биологи	Biologia
Умард Солонгос	Corea del Nord
Камбож / Кампуч	Cambogia
Үлэг гүрвэл	Dinosauria
Ислам	Islam
Лийр	Pyrus
Люблян	Lubiana
Сальвадор Альенде	Salvador Allende
Ургамал судлал	Botanica
Европын Холбоо	Unione europea
Пловдив	Plovdiv
Оддын дайн	Guerre stellari
Рона-Альп	Rodano-Alpi
Дэлхий дахины веб	World Wide Web
Эмэгтэй хүн	Donna
Софи	Sofia
Шүлэг	Poesia
Компьютерын вирус	Virus (informatica)
Чернобылийн осол	Disastro di Černobyl'
Милан	Milano
Артюр Рембо	Arthur Rimbaud
Турин	Torino
Нимбэг	Citrus × limon
Гадил	Banana
Марианы хонхор	Fossa delle Marianne
Владимир Высоцкий	Vladimir Semënovič Vysockij
Жомолунгма	Everest
Хот	Città
Наполеон I Бонапарт	Napoleone Bonaparte
Од	Stella
Нар	Sole
Луи Пастер	Louis Pasteur
Гэрлийн жил	Anno luce
Виктор Гюго	Victor Hugo
Нарны аймаг	Sistema solare
Балтын тэнгис	Mar Baltico
Висла мөрөн	Vistola
Устөрөгч	Idrogeno
Викимедиа Коммонс	Wikimedia Commons
Ангела Меркель	Angela Merkel
Ном	Libro
Хоног	Giorno
Зүүн Тимор	Timor Est
Шөнө	Notte
Жил	Anno
Зуун	Secolo
Лодзь	Łódź
Рейн мөрөн	Reno
Осло	Oslo
Бонн	Bonn
Хар нүх	Buco nero
Луис Камоэнс	Luís de Camões
Гэй	Gay
Церера	Cerere (astronomia)
Лиссабон	Lisbona
Хаумеа	Haumea (astronomia)
Макемаке	Makemake (astronomia)
Эрида	Eris (astronomia)
Лионель Месси	Lionel Messi
Николай Коперник	Niccolò Copernico
Нүүрстөрөгч	Carbonio
Алессандро Дель Пьеро	Alessandro Del Piero
Ижил	Volga
Азот	Azoto
Хүчилтөрөгч	Ossigeno
Интернационале	Football Club Internazionale Milano
Гариг	Pianeta
VII Клеопатра	Cleopatra VII
Хөгжим	Musica
Венец	Venezia
Нарүто	Naruto
Нева мөрөн	Neva
Москва	Mosca (Russia)
Фтор	Fluoro
Итали хэл	Lingua italiana
Санкт-Петербург	San Pietroburgo
Натри	Sodio
Магни	Magnesio
Хөнгөн цагаан	Alluminio
Шинэ Зеланд	Nuova Zelanda
Энэтхэг	India
Цахиур	Silicio
Тувалу	Tuvalu
Уан Пийс	One Piece
Фосфор (химийн элемент)	Fosforo
Андре Мари Ампер	André-Marie Ampère
Хүүрнэл зохиол	Prosa
Төмөр (химийн элемент)	Ferro
Тонга	Tonga
Хүхэр	Zolfo
Дорно	Est
Вануату	Vanuatu
Мольер	Molière
Уильям Шекспир	William Shakespeare
Өмнө Холланд	Olanda Meridionale
Палау	Palau (stato)
Аргон	Argon
Науру	Nauru
Умар Холланд	Olanda Settentrionale
Микронезийн Холбооны Улс	Stati Federati di Micronesia
Лионы Олимпик	Olympique Lyonnais
Кальци	Calcio (elemento chimico)
Хар тугалга	Piombo
Маршаллын арлууд	Isole Marshall
Кирибати	Kiribati
Монгол Улс	Mongolia
Фижи	Figi
Венесуэл	Venezuela
Шатар	Scacchi
Чингис хаан	Gengis Khan
Мэн	Maine
Хром	Cromo
Адуу	Equus caballus
Амстердам	Amsterdam
Амьтан	Animalia
Суринам	Suriname
Манган	Manganese
Парагвай	Paraguay
Гайана	Guyana
Урлаг	Arte
Эквадор	Ecuador
Рени	Renio
Колумб	Colombia
Кобальт	Cobalto
Гүзээлзгэнэ	Fragaria
Буддын шашин	Buddhismo
Гронинген хот	Groninga
Боливи	Bolivia
Зэс	Rame
Тринидад ба Тобаго	Trinidad e Tobago
Ургамал	Plantæ
Цайр	Zinco
Нью-Хэмпшир	New Hampshire
Леонардо да Винчи	Leonardo da Vinci
Сент-Китс ба Невис	Saint Kitts e Nevis
Ямайк	Giamaica
Гренад улс	Grenada
Массачусеттс	Massachusetts
Гватемал	Guatemala
Гелдерланд	Gheldria (provincia)
Коннектикут	Connecticut
Хавай	Hawaii
Гондурас	Honduras
Умард мөсөн далай	Mar Glaciale Artico
Гаити	Haiti
Иран улс	Iran
Ирак	Iraq
Аляска	Alaska
Коста-Рика	Costa Rica
Израиль	Israele
Утрехт хот	Utrecht
Панам	Panamá
Йемен	Yemen
Вирус	Virus (biologia)
Польш хэл	Lingua polacca
Иордан	Giordania
Никарагуа	Nicaragua
Флорида	Florida
Кыргызстан	Kirghizistan
Аризона	Arizona
Кувейт	Kuwait
Лаос	Laos
Ливан	Libano
Орегон	Oregon
Мальдив	Maldive
Америк тив	America
Юта	Utah
Малайз	Malesia
Михаил Булгаков	Michail Afanas'evič Bulgakov
Мьянмар	Birmania
Балба	Nepal
Оман	Oman
Пакистан	Pakistan
Катар	Qatar
Теннис	Tennis
MySQL	MySQL
Саудын Араб	Arabia Saudita
Шри-Ланка	Sri Lanka
Иосиф Сталин	Iosif Stalin
Шугаман код	Codice a barre
Сири	Siria
Платон	Platone
Тажик улс	Tagikistan
Бүгд Найрамдах Хятад Улс	Taiwan
Германи	Germanio
Аристотель	Aristotele
Тайланд	Thailandia
Галт тэрэг	Treno
Радио	Radio (elettronica)
Мерил Стрип	Meryl Streep
Туркменистан	Turkmenistan
Абакан	Abakan (città)
Арабын Нэгдсэн Эмирт Улс	Emirati Arabi Uniti
Вьетнам	Vietnam
Чарльз Спенсер Чаплин	Charlie Chaplin
Новосибирск	Novosibirsk
Өмнөд Солонгос	Corea del Sud
Екатеринбург	Ekaterinburg
Афганистан	Afghanistan
Доод Новгород	Nižnij Novgorod
Жон Толкин	J. R. R. Tolkien
Самар хот	Samara (città)
Алт	Oro
Омск	Omsk
