Afrika	Africa
Ġappun	Giappone
Norveġja	Norvegia
Ingilterra	Inghilterra
Skozja	Scozia
Irlanda ta' Fuq	Irlanda del Nord
Repubblika tal-Irlanda	Irlanda
Ungerija	Ungheria
Spanja	Spagna
Stati Uniti	Stati Uniti d'America
Belġju	Belgio
Lussemburgu	Lussemburgo
Art	Terra
Mewt	Morte
Bniedem	Homo sapiens
Tim Berners-Lee	Tim Berners-Lee
Finlandja	Finlandia
Żvezja	Svezia
Danimarka	Danimarca
Polonja	Polonia
Litwanja	Lituania
Italja	Italia
Żvizzera	Svizzera
Awstrija	Austria
Greċja	Grecia
Turkija	Turchia
Portugall	Portogallo
Ewropa	Europa
Asja	Asia
Wikipedija	Wikipedia
Pajjiżi l-Baxxi	Paesi Bassi
Berlin	Berlino
Kompjuter	Computer
Barack Obama	Barack Obama
Urugwaj	Uruguay
Londra	Londra
Messiku	Messico
Oċean Atlantiku	Oceano Atlantico
Oċean Paċifiku	Oceano Pacifico
Jannar	Gennaio
Frar	Febbraio
Marzu	Marzo
Marte (pjaneta)	Marte (astronomia)
Kenja	Kenya
Etjopja	Etiopia
Gana	Ghana
April	Aprile
Mejju	Maggio
Ġunju	Giugno
Lulju	Luglio
Awwissu	Agosto
Settembru	Settembre
Ottubru	Ottobre
Novembru	Novembre
Diċembru	Dicembre
Iljun	Panthera leo
Franza	Francia
Kelb	Canis lupus familiaris
Renju Unit	Regno Unito
Qattus	Felis silvestris catus
Ċina	Cina
Wikizzjunarju	Wikizionario
Brażil	Brasile
François Hollande	François Hollande
Russja	Russia
Wiki	Wiki
Fondazzjoni Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Ġermanja	Germania
Bjelorussja	Bielorussia
Il Canto degli italiani	Il Canto degli Italiani
Iżlanda	Islanda
Estonja	Estonia
Saturnu (pjaneta)	Saturno (astronomia)
Latvja	Lettonia
Ukraina	Ucraina
Ċekja	Repubblica Ceca
Slovakkja	Slovacchia
Slovenja	Slovenia
Vilnius	Vilnius
Moldova	Moldavia
Rumanija	Romania
Bulgarija	Bulgaria
Ruma	Roma
Repubblika tal-Maċedonja	Repubblica di Macedonia
Albanija	Albania
Kroazja	Croazia
Bożnija u Ħerżegovina	Bosnia ed Erzegovina
Ażerbajġan	Azerbaigian
Andorra	Andorra
Ċipru	Cipro
Ġeorġja	Georgia
Każakistan	Kazakistan
Malta	Malta
Monako	Principato di Monaco
Montenegro	Montenegro
Belt tal-Vatikan	Città del Vaticano
San Marino	San Marino
Brussell	Bruxelles
Kuba	Cuba
Beliże	Belize
Torri Eiffel	Torre Eiffel
Barbados	Barbados
Volkswagen	Volkswagen
Indoneżja	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrika t'Isfel	Sudafrica
Alġerija	Algeria
Wikisors	Wikisource
Varsavja	Varsavia
Festival tal-Eurovision	Eurovision Song Contest
Injam	Legno
Pornografija	Pornografia
Ċili	Cile
Ġesù	Gesù
Galileo Galilei	Galileo Galilei
Merkurju (pjaneta)	Mercurio (astronomia)
Storja	Storia
Venere (pjaneta)	Venere (astronomia)
Imħabba	Amore
Ġove (pjaneta)	Giove (astronomia)
Triq ta' Sant'Anna	Via Lattea
Uranu (pjaneta)	Urano (astronomia)
Nettunu (pjaneta)	Nettuno (astronomia)
Astronomija	Astronomia
Singapor	Singapore
Xjenza	Scienza
Liechtenstein	Liechtenstein
Sport	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
L-Ewwel Gwerra Dinjija	Prima guerra mondiale
It-Tieni Gwerra Dinjija	Seconda guerra mondiale
Wikotba	Wikibooks
Wikikwota	Wikiquote
Wikiversità	Wikiversità
Skopje	Skopje
Szczecin	Stettino
Matematika	Matematica
Lingwa Latina	Lingua latina
Baħrejn	Bahrein
Armenja	Armenia
Serbja	Serbia
Qamar	Luna
Awstralja	Australia
Arġentina	Argentina
Perù	Perù
Bijoloġija	Biologia
Kambodja	Cambogia
Faxxa ta' Kuiper	Fascia di Kuiper
Koran	Corano
Dinosawru	Dinosauria
Iżlam	Islam
Ljubljana	Lubiana
Unjoni Ewropea	Unione europea
Plovdiv	Plovdiv
Mara	Donna
Poeżija	Poesia
Lumija	Citrus × limon
Émile Zola	Émile Zola
Napuljun I ta' Franza	Napoleone Bonaparte
Vesuvju	Vesuvio
Xemx	Sole
Sena dawl	Anno luce
Oċeanja	Oceania
Sistema Solari	Sistema solare
Idroġenu	Idrogeno
Wikimedia Commons	Wikimedia Commons
Lejl	Notte
Oslo	Oslo
Katowice	Katowice
Toqba sewda	Buco nero
Lionel Messi	Lionel Messi
Karbonju	Carbonio
Ażotu	Azoto
Ossiġenu	Ossigeno
Inter Milan	Football Club Internazionale Milano
Pjaneta	Pianeta
Kleopatra VII	Cleopatra VII
Mużika	Musica
Moska	Mosca (Russia)
Lingwa Taljana	Lingua italiana
Ċad	Ciad
New Zealand	Nuova Zelanda
Indja	India
Tuvalu	Tuvalu
Ħadid	Ferro
Tonga	Tonga
Samoa	Samoa
Gżejjer Solomon	Isole Salomone
Vanwatu	Vanuatu
Molière	Molière
Papwa Gwinea l-Ġdida	Papua Nuova Guinea
William Shakespeare	William Shakespeare
Nawru	Nauru
Kiribati	Kiribati
Fiġi	Figi
Veneżwela	Venezuela
Genghis Khan	Gengis Khan
Żiemel	Equus caballus
Annimal	Animalia
Surinam	Suriname
Paragwaj	Paraguay
Gujana	Guyana
Arti	Arte
Ekwador	Ecuador
Kolombja	Colombia
Buddiżmu	Buddhismo
Bolivja	Bolivia
Trinidad u Tobago	Trinidad e Tobago
Saint Vincent u l-Grenadini	Saint Vincent e Grenadine
Santa Luċija	Santa Lucia (Stato)
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts u Nevis	Saint Kitts e Nevis
Ġamajka	Giamaica
Grenada	Grenada
Gwatemala	Guatemala
Baħamas	Bahamas
Antigwa u Barbuda	Antigua e Barbuda
Ħonduras	Honduras
Dominika	Dominica
Repubblika Dominikana	Repubblica Dominicana
Ħaiti	Haiti
El Salvador	El Salvador
Iran	Iran
Iraq	Iraq
Kosta Rika	Costa Rica
Iżrael	Israele
Panama	Panamá
Jemen	Yemen
Lingwa pollakka	Lingua polacca
Ġordan	Giordania
Nikaragwa	Nicaragua
Libanu	Libano
Maldive	Maldive
Malażja	Malesia
Burma	Birmania
Pakistan	Pakistan
Qatar	Qatar
Arabja Sawdija	Arabia Saudita
Sri Lanka	Sri Lanka
Josif Stalin	Iosif Stalin
YouTube	YouTube
Aristotli	Aristotele
Emirati Għarab Magħquda	Emirati Arabi Uniti
Vjetnam	Vietnam
Korea t'Isfel	Corea del Sud
Afganistan	Afghanistan
Bangladexx	Bangladesh
Mali	Mali
Angola	Angola
Butan	Bhutan
Brunej	Brunei
Tanżanija	Tanzania
Repubblika Ċentru-Afrikana	Repubblica Centrafricana
Isaac Newton	Isaac Newton
Isfar	Giallo
Mekkanika kwantistika	Meccanica quantistica
Togo	Togo
Tuneżija	Tunisia
Żambja	Zambia
Żimbabwe	Zimbabwe
Sudan t'Isfel	Sudan del Sud
Benin	Benin
Botswana	Botswana
Wikiħbarijiet	Wikinotizie
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoros	Comore
