Naakaii Łizhiní Bikéyah	Africa
Binaʼadaałtzózí Dinéʼiʼ Bikéyah	Giappone
Bitsiighaʼ Łichííʼí Bikéyah	Irlanda
Hángewii	Ungheria
Dibé Diníí Bikéyah	Spagna
Wááshindoon Bikéyah Ałhidadiidzooígíí	Stati Uniti d'America
Bélgii Bikéyah	Belgio
Látsębooʼ	Lussemburgo
Yágháhookáán	Universo
Nahasdzáán	Terra
Nahoditsʼǫʼłání	Finlandia
Déinish Dineʼé Bikéyah	Danimarca
Póolish Dineʼé Bikéyah	Polonia
Łitʼoowę́ęya	Lituania
Ídelii	Italia
Swis Bikéyah	Svizzera
Óóswiya	Austria
Gwíík Dineʼé Bikéyah	Grecia
Tʼóok Bikéyah	Turchia
Béésh Bichʼahníí Bikéyah	Europa
(*@@@u0026asia")	Asia
Shádiʼááhjí kéyah yistinígíí	Antartide
Kéyah Wóyahgo Siʼánígíí	Paesi Bassi
Béésh bee akʼeʼelchíhí tʼáá bí nitsékeesígíí	Computer
Hastiin alą́ąjįʼ dahsidáhígíí Barack Obama	Barack Obama
Táłtłʼááh Chʼosh Bitooh (Kéyah Dah Siʼánígíí)	Uruguay
Bilasáana	Mela
Méhigo	Messico
Akééháshį́į́h Hahoodzo	California
Máaz	Marte (astronomia)
Kénya	Kenya
Iithiyópya	Etiopia
Gáana	Ghana
Náshdóítsoh bitsiijįʼ daditłʼooígíí	Panthera leo
Dáághahii Dinéʼiʼ Bikéyah	Francia
Łééchąąʼí	Canis lupus familiaris
Tótaʼ Dinéʼiʼ Bikéyah	Regno Unito
Mósí	Felis silvestris catus
Dáághahii bizaad	Lingua francese
Łóóʼ	Pesce
Bwazííl	Brasile
Biʼééʼ Łichííʼí Bikéyah	Russia
Łóóʼtsoh dóó Tééh hóyáanii	Cetacea
Élábéemah Hahoodzo	Alabama
Béésh Bichʼahii Bikéyah	Germania
Bééshbichʼahii bizaad	Lingua tedesca
Tin Bikéyah	Islanda
Ééstii Bikéyah	Estonia
Séetin	Saturno (astronomia)
Didzéchííʼ	Ciliegia
Chidí naatʼaʼí	Aeroplano
Hastiin alą́ąjįʼ dahsidáhígíí George W. Bush	George W. Bush
Létbiiya	Lettonia
Yóókwein	Ucraina
Chek Bikéyah	Repubblica Ceca
Słóbaʼ Bikéyah	Slovacchia
Słobíín Bikéyah	Slovenia
Wooméiniya	Romania
Bálgaa Bikéyah	Bulgaria
Dziłigaii Bikéyah	Albania
Haʼaʼaahjí Hakʼaz Dineʼé Bikéyah	Groenlandia
Kwóóʼad Bikéyah	Croazia
Bosna dóó Hetsog Bikéyah	Bosnia ed Erzegovina
Azééwii Bikéyah	Azerbaigian
Andówa	Andorra
Béésh Łichíiʼii Bikéyah	Cipro
Jóojah (Kéyah)	Georgia
Kʼazah Bikéyah	Kazakistan
Dziłizhin Bikéyah	Montenegro
Bádikin Sídii	Città del Vaticano
San Mawínoo Bikéyah	San Marino
Kyóoba	Cuba
Hashkʼaan Bikéyah	Barbados
Indoníízha	Indonesia
Tʼóok bizaad	Lingua turca
Kéyah Naakai Łizhinii Bikéyah Shádiʼááhjí Siʼánígíí	Sudafrica
Aljííya	Algeria
Ózbeʼ Bikéyah	Uzbekistan
Tó	Acqua
Níłchʼi naalkidí	Televisione
Chíilii	Cile
Doodaatsaahii (Jíísas)	Gesù
Mókiwii	Mercurio (astronomia)
Ákáʼátʼįįł (béésh ntsékeesígíí álʼíní)	Apple
Biinis	Venere (astronomia)
Jíbitoo	Giove (astronomia)
Yoowéinis	Urano (astronomia)
Néʼtoon	Nettuno (astronomia)
Sį́ʼgaboo	Singapore
Tłóotoo	Plutone (astronomia)
Łííhtensain	Liechtenstein
Dágháilchįįh	Adolf Hitler
Naaltsoos biniiʼ	Facebook
Naaki góneʼ yéigo daʼahijoogą́ą́ʼ	Seconda guerra mondiale
Ałhíʼayiiltááh	Matematica
Aooméénii Bikéyah	Armenia
Ooljééʼ	Luna
Nahatʼeʼiitsoh Bikéyah	Australia
Béésh Łigaii Bikéyah	Argentina
Kolíya Bikéyah Náhookǫsjí Siʼánígíí	Corea del Nord
Naayééʼ	Dinosauria
Bilasáana bitseeʼ nineezígíí	Pyrus
Naturalis Historia of Pliny the Elder	Naturalis historia
Encyclopædia Britannica	Enciclopedia Britannica
Tó yaʼnidaʼaazgééd	Acquedotto
Chʼil łitsooí díkʼǫ́zhígíí	Citrus × limon
Hashkʼaan (łitsooígíí)	Banana
Sǫʼ	Stella
Jóhonaaʼéí	Sole
Háájiʼjin	Idrogeno
Níłchʼi Ászólí	Elio
Haʼaʼaahjí Tíímow	Timor Est
Séwes	Cerere (astronomia)
Haʼooméya	Haumea (astronomia)
Maakiimaakii	Makemake (astronomia)
Ééwis	Eris (astronomia)
Káábin	Carbonio
Níłchʼi Yáʼátʼéehii	Ossigeno
Hadoh dóó hakʼaz neiłkidígíí	Termometro
Níłchʼi Łitsxooí	Neon
Chihuahua Hahoodzo	Chihuahua (stato)
Soodin	Sodio
Béésh Łikoní	Magnesio
Béésh Ászólí	Alluminio
Tó Wónaanídę́ę́ʼ Bitsįʼ Yishtłizhii Bikéyah	India
Tʼoobááloo	Tuvalu
Béésh (Fe)	Ferro
Tʼónga	Tonga
Łeetsoii	Zolfo
Samóa	Samoa
Sólomon Tó Bináhaazyínígíí	Isole Salomone
Banoʼáátʼoo	Vanuatu
Páápowa Bigíní Ániidí	Papua Nuova Guinea
Níłchʼi Dootłʼizhí	Argon
Eʼeʼaahjí Tónteel bikáaʼgi Kéyah Yázhí dah Ndaaʼeełgo Ałhidadiidzooígíí	Stati Federati di Micronesia
Káálsiiyin	Calcio (elemento chimico)
Dilyį́hí	Piombo
Kílíbas	Kiribati
Chʼah Diʼilii Bikéyah	Mongolia
Fííjii	Figi
Béésh doo Ńdiniichxíihii	Titanio
Táłkááʼ Bighan Dineʼé Bikéyah	Venezuela
Méíin Hahoodzo	Maine
