Aphrika	Africa
Nihun	Giappone
Urin Awya Yala	America Meridionale
Nurwiga	Norvegia
Inlatirra	Inghilterra
Iskusya	Scozia
Kamri	Galles
Chinchay Ilanda	Irlanda del Nord
Ilanda	Irlanda
Unriya	Ungheria
Ispaña	Spagna
Hukllachasqa Amirika Suyukuna	Stati Uniti d'America
Bilhika	Belgio
Luksimbur	Lussemburgo
Ch'askancha	Universo
Tiksimuyu	Terra
Kawsay	Vita
Wañuy	Morte
Runa	Homo sapiens
Kusikuy	Felicità
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Phinsuyu	Finlandia
Suwidsuyu	Svezia
Dansuyu	Danimarca
Pulunya	Polonia
Lituwa	Lituania
Italya	Italia
Suwisa	Svizzera
Awstiriya	Austria
Grisya	Grecia
Turkiya	Turchia
Sirwisa	Birra
Purtugal	Portogallo
Iwrupa	Europa
Asya	Asia
Chinchay Awya Yala	America del Nord
Antartika	Antartide
Wikipidiya	Wikipedia
Urasuyu	Paesi Bassi
Ullu	Pene
New York	New York
Washington DC	Washington
San Francisco (California)	San Francisco
Berlin	Berlino
Los Angeles	Los Angeles
Antañiqiq	Computer
Bern	Berna
Genève	Ginevra
Zürich	Zurigo
Internet	Internet
Barack Obama	Barack Obama
Uruwayi	Uruguay
Basel	Basilea
Antañiqiq ch'ipachina	Stampante
London	Londra
Qahira	Il Cairo
Uma nanay	Cefalea
Iskandariya	Alessandria d'Egitto
Mansana	Mela
Paris	Parigi
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Mishiku	Messico
Atlantiku mama qucha	Oceano Atlantico
Sanp'a mama qucha	Oceano Pacifico
California suyu	California
Boston (Massachusetts)	Boston
Killachaw	Lunedì
Qhulla puquy killa	Gennaio
Hatun puquy killa	Febbraio
Pawqar waray killa	Marzo
Awqakuq	Marte (astronomia)
Kinya	Kenya
Ithiyupya	Etiopia
Gana	Ghana
Ayriway killa	Aprile
Aymuray killa	Maggio
Inti raymi killa	Giugno
Anta situwa killa	Luglio
Chakra yapuy killa	Agosto
Tarpuy killa	Settembre
Kantaray killa	Ottobre
Ayamarq'a killa	Novembre
Qhapaq raymi killa	Dicembre
Atipachaw	Martedì
Quyllurchaw	Mercoledì
Illapachaw	Giovedì
Ch'askachaw	Venerdì
K'uychichaw	Sabato
Intichaw	Domenica
Liyun	Panthera leo
Ransiya	Francia
Esperanto simi	Lingua esperanto
Allqu	Canis lupus familiaris
Hukllachasqa Qhapaq Suyu	Regno Unito
Michi	Felis silvestris catus
Chunwa Runallaqta Ripuwlika	Cina
Ransis simi	Lingua francese
Challwa	Pesce
Ethanul	Etanolo
Brasil	Brasile
Alkul	Alcoli
François Hollande	François Hollande
Rusiya	Russia
Wallina	Cetacea
Q'aytucha	Fibra tessile
T'asra	Quadrato
Hatun qucha	Mare
Yana hatun qucha	Mar Nero
Chiqaluwa	Pi greco
Wiki	Wiki
Toronto	Toronto
Alabama suyu	Alabama
São Paulo	San Paolo (Brasile)
São Paulo suyu	San Paolo (stato)
Quebec pruwinsya	Québec (provincia)
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alimanya	Germania
Bilarus	Bielorussia
Aliman simi	Lingua tedesca
Islandya	Islanda
Apuyaya	Dio
Istunya	Estonia
David Cameron	David Cameron
Hawcha	Saturno (astronomia)
Chukulati	Cioccolato
Antanka	Aeroplano
Maqanakuy	Guerra
Huk	1 (numero)
Iskay	2 (numero)
Kimsa	3 (numero)
Tawa	4 (numero)
Pichqa	5 (numero)
Ch'usaq yupay	0 (numero)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Wask'a	Rettangolo
Chiqan chhuka	Angolo retto
Litunya	Lettonia
Ukranya	Ucraina
Chiksuyu	Repubblica Ceca
Isluwakya	Slovacchia
Isluwinya	Slovenia
Vilnius	Vilnius
Mulduwa	Moldavia
Rumanya	Romania
Bulgarya	Bulgaria
Roma	Roma
Makidunya	Repubblica di Macedonia
Albanya	Albania
Kalalit Suyu	Groenlandia
Hurwatsuyu	Croazia
Busna-Hirsiquwina	Bosnia ed Erzegovina
Asarsuyu	Azerbaigian
Andurra	Andorra
Kipru	Cipro
Kartulsuyu	Georgia
Qasaqsuyu	Kazakistan
Malta	Malta
Munaku	Principato di Monaco
Yanaurqu	Montenegro
Watikanu llaqta	Città del Vaticano
San Marino	San Marino
Brussel	Bruxelles
Kuwa	Cuba
Bilisi	Belize
Yatana llumpa	Tastiera (informatica)
Indunisya	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Lingua turca
Urin Aphrika	Sudafrica
Alhirya	Algeria
Usbiksuyu	Uzbekistan
Poznań	Poznań
Warszawa	Varsavia
Modena	Modena
Winu	Vino
Yaku	Acqua
Qiru	Legno
Ñawikaruy	Televisione
Islandya simi	Lingua islandese
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chili	Cile
El Greco	El Greco
Jesus	Gesù
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Qatuylla	Mercurio (astronomia)
Wiñay kawsay	Storia
Ch'aska	Venere (astronomia)
Rimay	Linguaggio
Khuyay	Amore
Llaqta saruy	Dittatura
Ñuñu warani	Galassia
Pirwa	Giove (astronomia)
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Via Lattea
Hatun t'uqyay	Big Bang
Uranu (puriq quyllur)	Urano (astronomia)
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Nettuno (astronomia)
Quyllur yachay	Astronomia
Singapur	Singapore
Hamut'ay	Scienza
Plutun (tuna puriq quyllur)	Plutone (astronomia)
Montreal	Montréal
Qhipa pacha	Futuro
Qullana Mariya	Maria (madre di Gesù)
Liechtenstein	Liechtenstein
Kurku kallpanchay	Sport
Cambridge	Cambridge
Yellowstone mamallaqta parki	Parco nazionale di Yellowstone
Adolf Hitler	Adolf Hitler
Huk ñiqin pachantin maqanakuy	Prima guerra mondiale
Iskay ñiqin pachantin maqanakuy	Seconda guerra mondiale
Köln	Colonia (Germania)
Pacha tupuq	Orologio
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Szczecin	Stettino
Yupay yachay	Matematica
U2	U2
Latin simi	Lingua latina
Bahrayn	Bahrein
Arminya	Armenia
Sirbya	Serbia
Killa	Luna
Istanbul	Istanbul
Awstralya	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Fisica
Arhintina	Argentina
Piruw	Perù
Kawsay yachay	Biologia
Chusun Runakapaq Runallaqta Republika	Corea del Nord
Kambuya	Cambogia
Quran	Corano
Dinusawru	Dinosauria
Suwuluhiya	Zoologia
Islam	Islam
Pira	Pyrus
Ljubljana	Lubiana
Salvador Allende	Salvador Allende
Butanika	Botanica
Lech Wałęsa	Lech Wałęsa
Qalla	Ruota
Thak	Pace
Lyon	Lione
Iwrupa Huñu	Unione europea
Rhône-Alpes	Rodano-Alpi
Warmi	Donna
Sofiya	Sofia
Witkhu	Acquedotto
Ñ	Ñ
Don Quijote	Don Chisciotte della Mancia
Harawi	Poesia
Qilla	Pigrizia
Antañiqiq añaw	Virus (informatica)
Asikuy	Sorriso
Milano	Milano
Yuyay	Memoria
Torino	Torino
Aka	Feci
Sip'uti	Ano
Puquy k'allku	Citrus × limon
Émile Zola	Émile Zola
666	666
Tuktu	Fiore
Chomolungma	Everest
Kurkumanta yachay	Anatomia
Hatun llaqta	Città
Napoléon Bonaparte	Napoleone Bonaparte
Quyllur	Stella
Inti	Sole
Hanaq pacha	Cielo
Louis Pasteur	Louis Pasteur
Achkiy wata	Anno luce
Uchuy llaqta	Villaggio
Victor Hugo	Victor Hugo
Usiyanya	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Atletica leggera
Inti Llika	Sistema solare
Baltiku hatun qucha	Mar Baltico
Trieste	Trieste
Kiru	Dente
Yakuchaq	Idrogeno
Ilyu	Elio
Ukhu pacha	Inferno
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lityu	Litio
Berilyu	Berillio
Ruqyaq	Altoparlante
Liwru	Libro
P'unchaw	Giorno
Anti Timur	Timor Est
Tuta	Notte
Wata	Anno
Pachakwata	Secolo
Łódź	Łódź
Rhein	Reno
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	Ognissanti
Katowice	Katowice
Luís de Camões	Luís de Camões
Chinaku	Gay
Siris (tuna puriq quyllur)	Cerere (astronomia)
Lisboa	Lisbona
Rzeszów	Rzeszów
Haumea (puriq quyllur)	Haumea (astronomia)
Makemake (tuna puriq quyllur)	Makemake (astronomia)
Eris (tuna puriq quyllur)	Eris (astronomia)
Lionel Messi	Lionel Messi
Padova	Padova
Boru	Boro
Nicolaus Copernicus	Niccolò Copernico
K'illimsayaq	Carbonio
Alessandro Del Piero	Alessandro Del Piero
Qullpachaq	Azoto
Bergamo	Bergamo
Muksichaq	Ossigeno
Inter Milano	Football Club Internazionale Milano
Pachahina	Pianeta
Kleopatra VII	Cleopatra VII
Taki kapchiy	Musica
Venezia	Venezia
Rennes	Rennes
Lille	Lilla
Moskwa	Mosca (Russia)
Flur	Fluoro
Italya simi	Lingua italiana
Niyun	Neon
Chihuahua suyu	Chihuahua (stato)
Sankt Peterburg	San Pietroburgo
Chad	Ciad
Natriyu	Sodio
Chincha	Nord
Qunta q'illay	Magnesio
Ch'aqu q'illay	Alluminio
Musuq Silanda	Nuova Zelanda
Urin	Sud
Indya	India
Ullayayaq	Silicio
Fransyu	Francio
Tuwalu	Tuvalu
Phusphuru	Fosforo
Khillay	Ferro
Tunqa	Tonga
Kunti	Ovest
Alessandro Volta	Alessandro Volta
Salina	Zolfo
Samwa	Samoa
Anti	Est
Salumun wat'akuna	Isole Salomone
Wanwatu	Vanuatu
Molière	Molière
Kluru	Cloro
Delft	Delft
Papwa Ñukini	Papua Nuova Guinea
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	Olanda Meridionale
Palaw	Palau (stato)
Argun	Argon
Nawru	Nauru
Noord-Holland pruwinsya	Olanda Settentrionale
Mikrunisya (mama llaqta)	Stati Federati di Micronesia
Kalyu	Potassio
Zeeland pruwinsya	Zelanda (Paesi Bassi)
Isku q'illay	Calcio (elemento chimico)
Flevoland pruwinsya	Flevoland
Titi	Piombo
Marshall Wat'akuna	Isole Marshall
Kiribati	Kiribati
Mungul suyu	Mongolia
Phiyi	Figi
Iskandyu	Scandio
Titanyu	Titanio
Winisuyla	Venezuela
Qhapaq chunkana	Scacchi
Wanadyu	Vanadio
Maine suyu	Maine
Krumu	Cromo
Kawallu	Equus caballus
Amsterdam	Amsterdam
Ayñi	Arma
Uywa	Animalia
Surinam	Suriname
Manganisu	Manganese
Parawayi	Paraguay
Wayana	Guyana
Kapchiy	Arte
Ikwadur	Ecuador
Renyu	Renio
Kulumbya	Colombia
Kubaltu	Cobalto
Wolframyu	Tungsteno
Nikil	Nichel
Muntipuquy	Fragaria
Budismu	Buddhismo
Groningen	Groninga
Puliwya	Bolivia
Osmiyu	Osmio
Groningen pruwinsya	Groninga (provincia)
Anta	Rame
Trinidad Tubaguwan	Trinidad e Tobago
Yura	Plantæ
Tsinku	Zinco
New Hampshire suyu	New Hampshire
Santa Lusiya wat'a	Santa Lucia (Stato)
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
San Kits Niwiswan	Saint Kitts e Nevis
K'allampa	Fungi
Shamayka	Giamaica
Grinada	Grenada
Friesland pruwinsya	Frisia (Paesi Bassi)
Massachusetts suyu	Massachusetts
Drenthe pruwinsya	Drenthe
Overijssel pruwinsya	Overijssel
Watimala	Guatemala
Gelderland	Gheldria (provincia)
Utrecht pruwinsya	Utrecht (provincia)
Bahamakuna	Bahamas
Connecticut suyu	Connecticut
Wallpa	Gallus gallus domesticus
Hawaii suyu	Hawaii
Unduras	Honduras
Duminika	Dominica
Duminikana	Repubblica Dominicana
Khuchi	Sus scrofa domesticus
Artiku mama qucha	Mar Glaciale Artico
Ayti (mama llaqta)	Haiti
Salwadur	El Salvador
Zwolle	Zwolle
Iran	Iran
Iraq	Iraq
Alaska suyu	Alaska
Assen	Assen
Kustarika	Costa Rica
Israyil	Israele
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama	Panamá
Yaman	Yemen
Lausanne	Losanna
Añaw	Virus (biologia)
Pulaku simi	Lingua polacca
Hurdanya	Giordania
Nikarawa	Nicaragua
Florida suyu	Florida
Kirkisuyu	Kirghizistan
Arizona suyu	Arizona
Kuwait	Kuwait
Florida pruwinsya	Provincia di Florida
Law suyu	Laos
Qincha pruwinsya (Beni)	Provincia di Cercado (Beni)
Libanu	Libano
Iténez pruwinsya	Provincia di Iténez
Oregon suyu	Oregon
Maldiwakuna	Maldive
José Ballivián pruwinsya	Provincia di General José Ballivián Segurola
Awya Yala (Mulanpi)	America
Utah suyu	Utah
Waaka	Bos taurus
Mamuriy pruwinsya	Provincia di Mamoré
Malasya	Malesia
Myanmar	Birmania
Nipal	Nepal
Marbán pruwinsya	Provincia di Marbán
Uman	Oman
Pakistan	Pakistan
Qatar	Qatar
Sawud Arabya	Arabia Saudita
Sri Lanka	Sri Lanka
Yosif Stalin	Iosif Stalin
Sirya	Siria
Platon	Platone
Galyu	Gallio (elemento chimico)
Tayiksuyu	Tagikistan
Chunwa Republika	Taiwan
Germanyu	Germanio
Aristotelis	Aristotele
Thaysuyu	Thailandia
Antakuru	Treno
Arsiniku	Arsenico
Ankichiy	Radio (elettronica)
Turkminsuyu	Turkmenistan
Silinyu	Selenio
Iridyu	Iridio
Hukllachasqa Arab Imiratukuna	Emirati Arabi Uniti
Bromu	Bromo
Qullqiya	Platino
Witnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novosibirsk
Tayhan Republika	Corea del Sud
Jekaterinburg	Ekaterinburg
Kriptun	Kripton
Afgansuyu	Afghanistan
Nizhniy Novgorod	Nižnij Novgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Samara	Samara (città)
Rubidyu	Rubidio
Quri	Oro
Omsk	Omsk
Kazan	Kazan'
Yachaq	Scienziato
Banladish	Bangladesh
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa (Russia)
Mali	Mali
Sokratis	Socrate
Angula	Angola
Butan	Bhutan
Bruniy	Brunei
Tansanya	Tanzania
Yaku qullqi	Mercurio (elemento chimico)
Roald Amundsen	Roald Amundsen
Philipinakuna	Filippine
Chawpi Aphrika Ripuwlika	Repubblica Centrafricana
Thalyu	Tallio
Urin qhipa	Polo sud
Chinchay qhipa	Polo nord
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istronsyu	Stronzio
Itriyu	Ittrio
Wismutu	Bismuto
Q'illu	Giallo
Tugu	Togo
Donald Tusk	Donald Tusk
Tunisya	Tunisia
John Bardeen	John Bardeen
Sambya	Zambia
Simbabwi	Zimbabwe
Pikkin	Pechino
Urin Sudan	Sudan del Sud
Binin	Benin
Butswana	Botswana
Burkina Phasu	Burkina Faso
Burundi	Burundi
Kumurakuna	Comore
Kungu Ripuwlika	Repubblica del Congo
Obi mayu	Ob' (fiume)
Kungu Runakamaq Ripuwlika	Repubblica Democratica del Congo
San Antonio (Texas)	San Antonio
Yiwuti	Gibuti
Polonyu	Polonio
Bayern	Baviera
Chawpipacha Khiniya	Guinea Equatoriale
Baden-Württemberg	Baden-Württemberg
Iritriya	Eritrea
Musuq Dilhi	Nuova Delhi
Huwan Pawlu II	Papa Giovanni Paolo II
Fedor Dostoievski	Fëdor Dostoevskij
Tbilisi	Tbilisi
Astatu	Astato
Gabun	Gabon
Mohandas Gandhi	Mahatma Gandhi
Siq'isqa rikchasapa willakuy	Fumetto
Gambya	Gambia
Khiniya	Guinea
Khiniya-Wisaw	Guinea-Bissau
Marphil Chala	Costa d'Avorio
Kamirun	Camerun
Q'umir Kawu	Capo Verde
Suthusuyu	Lesotho
Libirya	Liberia
Libya	Libia
Aachen	Aquisgrana
Madagaskar	Madagascar
Malawi	Malawi
Stuttgart	Stoccarda
Muritanya	Mauritania
Mawrisyu	Mauritius
Maruku	Marocco
Musambik	Mozambico
Namiwya	Namibia
Niqir	Niger
Niqirya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Sirkonyu	Zirconio
Santu Tumiy Prinsipipas	São Tomé e Príncipe
Sinigal	Senegal
Sichillakuna	Seychelles
Carl von Linné	Linneo
Liyun Urqu	Sierra Leone
Sumalya	Somalia
Niyobyu	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Gaio Giulio Cesare
Sudan	Sudan
Swasisuyu	Swaziland
K'uychi	Arcobaleno
Molibdenu	Molibdeno
Teknesyu	Tecnezio
Hamburg	Amburgo
Imayay yamkiy	Metabolismo
Unquy hark'ay	Sistema immunitario
Ontario qucha	Lago Ontario
Rikch'aqyay	Evoluzione
Huñusqa Nasyunkuna	Organizzazione delle Nazioni Unite
Hananqucha	Lago Superiore
Dante Alighieri	Dante Alighieri
Allpa saywachi	Geografia
Sunqu	Cuore umano
Ñutqu	Cervello
Qara	Pelle
Llimphi	Colore
Salerno	Salerno
Sutirimana	Sostantivo
Praha	Praga
Ruthenyu	Rutenio
Rodyu	Rodio
Anqas	Blu
Paladyu	Palladio (elemento chimico)
Qullqi q'illay	Argento
Kadmiyu	Cadmio
Limburg (Urasuyu) pruwinsya	Limburgo (Paesi Bassi)
Indyu	Indio
Chayanta	Stagno (elemento chimico)
Uranyu	Uranio
Antimunyu	Antimonio
Teluryu	Tellurio
Noord-Brabant pruwinsya	Brabante Settentrionale
Plutonyu	Plutonio
Yudu	Iodio
Neptunyu	Nettunio
Senun	Xeno
Anime	Anime
Sesyu	Cesio (elemento chimico)
Protaktinyu	Protoattinio
Pinchikilla chaqna	Carica elettrica
Baryu	Bario
Thoryu	Torio
Hafniyu	Afnio
Aktinyu	Attinio
Tantalyu	Tantalio
Bill Clinton	Bill Clinton
Radyu q'illay	Radio (elemento chimico)
Radun	Radon
Lorraine	Lorena (regione francese)
Alsace	Alsazia
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Alvernia
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan suyu	Michigan
Michigan qucha	Lago Michigan
Bourgogne	Borgogna
Aquitaine	Aquitania
Burinkin	Porto Rico
Limousin	Limosino
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Meclemburgo-Pomerania Anteriore
Niedersachsen	Bassa Sassonia
Nordrhein-Westfalen	Renania Settentrionale-Vestfalia
Hessen	Assia
Rheinland-Pfalz	Renania-Palatinato
Saarland	Saarland
Sachsen	Sassonia
John Lennon	John Lennon
Illinois suyu	Illinois
Thüringen	Turingia
Sachsen-Anhalt	Sassonia-Anhalt
North Dakota suyu	Dakota del Nord
Brandenburg	Brandeburgo
Bremen suyu	Brema (stato)
Lombardia	Lombardia
South Dakota suyu	Dakota del Sud
Montana suyu	Montana
Wyoming suyu	Wyoming
Piemonte	Piemonte
Yerushalayim	Gerusalemme
Idaho suyu	Idaho
Washington suyu	Washington (stato)
Rutherfordyu	Rutherfordio
Nevada suyu	Nevada
Dubniyu	Dubnio
Seaborgyu	Seaborgio
Trentino Urin Tirul	Trentino-Alto Adige
