Afrika	Africa
Jabaan	Giappone
Ameerikada koonfureed	America Meridionale
Norway	Norvegia
Ingiriiska	Inghilterra
Skotland	Scozia
Waalis	Galles
Waqooyiga Ayrland	Irlanda del Nord
Ireland	Irlanda
Hungaria	Ungheria
Isbania	Spagna
Mareykanka	Stati Uniti d'America
Beljim	Belgio
Luksemburg	Lussemburgo
Koon	Universo
Dhul	Terra
Nolosha	Vita
Biniaadan	Homo sapiens
George Washington	George Washington
Finland	Finlandia
Iswiidhan	Svezia
Denmark	Danimarca
Boland	Polonia
Lithuaniya	Lituania
Talyaaniga	Italia
Iswisarland	Svizzera
Austriya	Austria
Giriig	Grecia
Turkiga	Turchia
Bortuqaal	Portogallo
Yurub	Europa
Aasiya	Asia
Woqooyiga Ameerika	America del Nord
Antiarktis	Antartide
Wikipedia	Wikipedia
Holland	Paesi Bassi
New York	New York
Washington D.C	Washington
Baarliin	Berlino
Los Angeles	Los Angeles
Boeing	Boeing
Kumbuyuutar	Computer
Jineefa	Ginevra
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londra
Qaahiro	Il Cairo
Baariis	Parigi
Android	Android
Google	Google Inc.
Meksiko	Messico
Badweynta Atlaantik	Oceano Atlantico
Badweynta Baasifik	Oceano Pacifico
Kalifornia	California
Isniin	Lunedì
Janaayo	Gennaio
Febraayo	Febbraio
Maarso	Marzo
Farraare	Marte (astronomia)
Kiinya	Kenya
Itoobiya	Etiopia
Gaana	Ghana
Abriil	Aprile
May	Maggio
Juun	Giugno
Luuliyo	Luglio
Agoosto	Agosto
Sebteembar	Settembre
Oktoobar	Ottobre
Nofeembar	Novembre
Diseembar	Dicembre
Talaado	Martedì
Arbaco	Mercoledì
Khamiis	Giovedì
Jimco	Venerdì
Sabti	Sabato
Axad	Domenica
Libaax	Panthera leo
Faransiiska	Francia
Esberanto	Lingua esperanto
Ey	Canis lupus familiaris
Midowga boqortooyada Britan	Regno Unito
Yaanyuur	Felis silvestris catus
Shiinaha	Cina
Af-Faransiis	Lingua francese
Malaay	Pesce
Khamri	Bevanda alcolica
Barasiil	Brasile
François Hollande	François Hollande
Ruushka	Russia
Nibiri	Cetacea
Labajibaarane	Quadrato
Bad	Mare
Bada madaw	Mar Nero
Pi Sumad xisaabeed	Pi greco
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	San Paolo (Brasile)
São Paulo (Gobol)	San Paolo (stato)
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Ingiriis	English (disambigua)
Jarmalka	Germania
Belarus	Bielorussia
Af-Jarmal	Lingua tedesca
Island	Islanda
Estoniya	Estonia
David Cameron	David Cameron
Raage	Saturno (astronomia)
Chocolate	Cioccolato
Dagaalada	Guerra
Kow	1 (numero)
Labo	2 (numero)
Sadax	3 (numero)
Afar (lambar)	4 (numero)
Shan	5 (numero)
0	0 (numero)
George W. Bush	George W. Bush
Laydi	Rettangolo
Latfiya	Lettonia
Ukrain	Ucraina
Jamhuuriyadda Tashik	Repubblica Ceca
Islofaakiya	Slovacchia
Isloveeniya	Slovenia
Moldofa	Moldavia
Romania	Romania
Bulgaria	Bulgaria
Roma	Roma
Jamhuriyada Makedonia	Repubblica di Macedonia
Albania	Albania
Griinland	Groenlandia
Kroatia	Croazia
Bosniya	Bosnia ed Erzegovina
Aserbiijaan	Azerbaigian
Andorra	Andorra
Jasiirada Qabrus	Cipro
Joorjiya	Georgia
Kasakhstan	Kazakistan
Malta	Malta
Monako	Principato di Monaco
Montenegro	Montenegro
Faatikan	Città del Vaticano
San Marino	San Marino
Boroksel	Bruxelles
Kuuba	Cuba
Belise	Belize
Barbados	Barbados
Indunisiya	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Af-Turki	Lingua turca
Koonfur Afrika	Sudafrica
Aljeeriya	Algeria
Usbekistan	Uzbekistan
Biyo	Acqua
Alwaax	Legno
Telefishin	Televisione
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Jili	Cile
El Greco	El Greco
Ciise	Gesù
Dusaa	Mercurio (astronomia)
Taariikh	Storia
Apple Inc	Apple
Waxaraxir	Venere (astronomia)
Jaceyl	Amore
Cirjeex	Giove (astronomia)
Uraano	Urano (astronomia)
Nicolas Sarkozy	Nicolas Sarkozy
Nebtuun	Nettuno (astronomia)
Xiddigis	Astronomia
Singabuur	Singapore
Saynis	Scienza
Buluuto	Plutone (astronomia)
Liechtenstein	Liechtenstein
Ciyaaraha	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Dagaalkii koowaad	Prima guerra mondiale
Dagaalkii Labaad ee Aduunka	Seconda guerra mondiale
Goorsheegto	Orologio
Linux	Linux
Xisaab	Matematica
Af-Laatiin	Lingua latina
Baxrayn	Bahrein
Armania	Armenia
Seerbiya	Serbia
Bil	Luna
Istanbuul	Istanbul
Australia	Australia
Fiisigis	Fisica
Arjantiina	Argentina
Isgaarsiinta	Telecomunicazione
Peru	Perù
Bayoloji	Biologia
Waqooyiga Kuuriya	Corea del Nord
Kambodiya	Cambogia
Qur'aan	Corano
Diinsoor (xayawaan)	Dinosauria
Islaam	Islam
Ljubljana	Lubiana
World Wide Web	World Wide Web
Naag	Donna
Gabay	Poesia
Chernobyl	Disastro di Černobyl'
Milan	Milano
Torino	Torino
Liin dhanaan	Citrus × limon
Moos	Banana
Ubax	Fiore
Magaalo	Città
Napoleon Bonaparte	Napoleone Bonaparte
Xidig	Stella
Qorax	Sole
Cir	Cielo
Tuulo	Villaggio
Ooshiyaaniya	Oceania
Bahda Midaysay Qoraxdu	Sistema solare
Ilig	Dente
Hydrogen	Idrogeno
Hiliyaam	Elio
Cadaab	Inferno
Wikimedia Commons	Wikimedia Commons
Liithiyaam	Litio
Beriiliyaam	Berillio
Buug	Libro
Maalin	Giorno
Bariga Timor	Timor Est
Sanad	Anno
Qarni	Secolo
Oslo	Oslo
Lissabon	Lisbona
Dubay	Dubai
Lionel Messi	Lionel Messi
Booron	Boro
Versailles	Versailles
Kaarboon	Carbonio
Nitrojiin	Azoto
Ogsajiin	Ossigeno
FC Internazionale Milano	Football Club Internazionale Milano
Meere	Pianeta
Muusig	Musica
Moskow	Mosca (Russia)
Foloriin	Fluoro
Af-Taliyaani	Lingua italiana
Niyoon	Neon
Saint Petersburg	San Pietroburgo
Jad	Ciad
Sodhiyaam	Sodio
Woqooyi	Nord
Magniisiyaam	Magnesio
Alumiiniyaam	Alluminio
New Zealand	Nuova Zelanda
Koonfur	Sud
Hindiya	India
Silikoon	Silicio
Faransiyaam	Francio
Tuvalu	Tuvalu
Fosforos	Fosforo
Xadiid	Ferro
Galbeed	Ovest
Salfar	Zolfo
Bari (Jiho)	Est
Jasiiradaha Solomon	Isole Salomone
Koloriin	Cloro
Koofurta Holland	Olanda Meridionale
Balau	Palau (stato)
Aargon	Argon
Nawru	Nauru
Firefox	Mozilla Firefox
Waqooyiga Holland	Olanda Settentrionale
Botashiyaam	Potassio
Zeeland	Zelanda (Paesi Bassi)
Kaalshiyaam	Calcio (elemento chimico)
Flevoland	Flevoland
Lead	Piombo
Jasiirada Marshall	Isole Marshall
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Figi
Iskaandhiyaam	Scandio
Titaaniyaam	Titanio
Fanansuwela	Venezuela
Jinkis Khan	Gengis Khan
Fanadhiyaam	Vanadio
Koroomiyaam	Cromo
Faras	Equus caballus
Amistardam	Amsterdam
Hub	Arma
