Áfríkà	Africa
Japan	Giappone
Gúúsù Amẹ́ríkà	America Meridionale
Nọ́rwèy	Norvegia
Ilẹ̀gẹ̀ẹ́sì	Inghilterra
Skọ́tlándì	Scozia
Wélsì	Galles
Írẹ́lándì Apáàríwá	Irlanda del Nord
Írẹ́lándì	Irlanda
Húngárì	Ungheria
Spéìn	Spagna
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Stati Uniti d'America
Bẹ́ljíọ̀m	Belgio
Lúksẹ́mbọ̀rg	Lussemburgo
Ayé	Terra
Ọmọnìyàn	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finlandia
Swídìn	Svezia
Dẹ́nmárkì	Danimarca
Pólàndì	Polonia
Lituéníà	Lituania
Itálíà	Italia
Swítsàlandì	Svizzera
Austríà	Austria
Gríìsì	Grecia
Túrkì	Turchia
Pọ́rtúgàl	Portogallo
Europe	Europa
Ásíà	Asia
Àríwá Amẹ́ríkà	America del Nord
Antárktìkà	Antartide
Wikipedia	Wikipedia
Nẹ́dálándì	Paesi Bassi
New York	New York
Washington, D.C.	Washington
San Francisco	San Francisco
Berlin	Berlino
Los Angeles	Los Angeles
Kọ̀mpútà	Computer
Berne	Berna
Geneva	Ginevra
Zürich	Zurigo
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugúáì	Uruguay
MediaWiki	MediaWiki
Lọndọnu	Londra
Káírò	Il Cairo
Parisi	Parigi
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Mẹ́ksíkò	Messico
Òkun Atlántíkì	Oceano Atlantico
Òkun Pàsífíkì	Oceano Pacifico
Kalifọ́rníà	California
Boston	Boston
Ọjọ́ Ajé	Lunedì
Oṣù Kínní	Gennaio
Oṣù Kejì	Febbraio
Oṣù Kẹta	Marzo
Mársì	Marte (astronomia)
Kẹ́nyà	Kenya
Ethiópíà	Etiopia
Ghánà	Ghana
Oṣù Kẹrin	Aprile
Oṣù Kàrún	Maggio
Oṣù Kẹfà	Giugno
Oṣù Keje	Luglio
Oṣù Kẹjọ	Agosto
Oṣù Kẹ̀sán	Settembre
Oṣù Kẹ̀wá	Ottobre
Oṣù Kọkànlá	Novembre
Oṣù Kejìlá	Dicembre
Ọjọ́ Ìsẹ́gun	Martedì
Ọjọ́rú	Mercoledì
Ọjọ́bọ̀	Giovedì
Ọjọ́ Ẹtì	Venerdì
Ọjọ́ Àbámẹ́ta	Sabato
Ọjọ́ Àìkú	Domenica
Kìnìún	Panthera leo
Fránsì	Francia
Èdè Esperanto	Lingua esperanto
Ajá	Canis lupus familiaris
Ilẹ̀ọba Aṣọ̀kan	Regno Unito
Ológbò	Felis silvestris catus
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	Cina
Èdè Faransé	Lingua francese
Brasil	Brasile
Ọtí	Alcoli
François Hollande	François Hollande
Rọ́síà	Russia
Alọ́poméjì	Quadrato
Òkun Dúdú	Mar Nero
Pi	Pi greco
Wiki	Wiki
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabama
São Paulo	San Paolo (Brasile)
Sao Paulo (ìpínlẹ̀)	San Paolo (stato)
Wikimedia	Wikimedia Foundation
