非洲	Africa
日本	Giappone
南美洲	America Meridionale
挪威	Norvegia
英倫	Inghilterra
蘇格蘭	Scozia
威爾斯	Galles
北愛爾蘭	Irlanda del Nord
愛爾蘭共和國	Irlanda
匈牙利	Ungheria
西班牙	Spagna
美國	Stati Uniti d'America
比利時	Belgio
盧森堡	Lussemburgo
宇宙	Universo
地球	Terra
生命	Vita
死	Morte
人	Homo sapiens
開心	Felicità
佐治華盛頓	George Washington
李柏納	Tim Berners-Lee
Leet	Leet
寇比力克	Stanley Kubrick
瑪雅曆法	Calendario maya
維基數據	Wikidata
芬蘭	Finlandia
瑞典	Svezia
丹麥	Danimarca
波蘭	Polonia
立陶宛	Lituania
意大利	Italia
瑞士	Svizzera
奧地利	Austria
希臘	Grecia
土耳其	Turchia
啤酒	Birra
葡萄牙	Portogallo
歐洲	Europa
亞洲	Asia
北美洲	America del Nord
南極洲	Antartide
維基百科	Wikipedia
荷蘭	Paesi Bassi
朘	Pene
PHP	PHP
紐約市	New York
華盛頓特區	Washington
三藩市	San Francisco
柏林	Berlino
洛杉磯	Los Angeles
波音	Boeing
空中客車	Airbus
電腦	Computer
伯恩	Berna
日內瓦	Ginevra
蘇黎世	Zurigo
互聯網	Internet
奧巴馬	Barack Obama
烏拉圭	Uruguay
巴塞爾	Basilea
列印機	Stampante
MediaWiki	MediaWiki
倫敦	Londra
開羅	Il Cairo
頭刺	Cefalea
亞歷山大港	Alessandria d'Egitto
蘋果	Mela
巴黎	Parigi
林肯	Abraham Lincoln
Android	Android
Google	Google Inc.
墨西哥	Messico
大西洋	Oceano Atlantico
太平洋	Oceano Pacifico
加利福尼亞州	California
波士頓	Boston
星期一	Lunedì
空間	Spazio (fisica)
1月	Gennaio
2月	Febbraio
3月	Marzo
火星	Marte (astronomia)
肯雅	Kenya
埃塞俄比亞	Etiopia
君主	Monarca
加納	Ghana
4月	Aprile
5月	Maggio
6月	Giugno
7月	Luglio
8月	Agosto
9月	Settembre
10月	Ottobre
11月	Novembre
12月	Dicembre
星期二	Martedì
星期三	Mercoledì
星期四	Giovedì
星期五	Venerdì
星期六	Sabato
星期日	Domenica
獅子	Panthera leo
法國	Francia
世界語	Lingua esperanto
狗	Canis lupus familiaris
英國	Regno Unito
貓	Felis silvestris catus
