IAfrika	Africa
IJapani	Giappone
IMelika Eningizimu	America Meridionale
INoki	Norvegia
INgilandi	Inghilterra
IsiKotilandi	Scozia
IWelisi	Galles
I-Ayilendi	Irlanda
ISpeyini	Spagna
IMelika	Stati Uniti d'America
IFinlandi	Finlandia
ISwidi	Svezia
IDenimaki	Danimarca
IPolandi	Polonia
ILithuwaniya	Lituania
ITaliya	Italia
I-Ostriya	Austria
IGreki	Grecia
ITheki	Turchia
IPhothugali	Portogallo
IYurobhu	Europa
I-Eshiya	Asia
IMelika Enyakatho	America del Nord
I-Antatika	Antartide
Wikipedia	Wikipedia
Netherlands	Paesi Bassi
New York (idolobha)	New York
IBerlini	Berlino
Ikhompiyutha	Computer
Barack Obama	Barack Obama
ILondon	Londra
Ihhabhula	Mela
IParisi	Parigi
IMekisiko	Messico
California	California
IKenya	Kenya
I-Ithiopia	Etiopia
IGana	Ghana
Ibhubesi	Panthera leo
IFulansi	Francia
Isi-Esperanto	Lingua esperanto
Inja	Canis lupus familiaris
Umbuso Ohlangeneyo	Regno Unito
Ikati	Felis silvestris catus
IShayina	Cina
IsiFulentshi	Lingua francese
IBrazili	Brasile
IRashiya	Russia
Ulwandle	Mare
IJalimani	Germania
IBelarusi	Bielorussia
IsiJalimani	Lingua tedesca
I-Ayisilandi	Islanda
UNkulunkulu	Dio
I-Estoniya	Estonia
David Cameron	David Cameron
USatureni	Saturno (astronomia)
George W. Bush	George W. Bush
ILatviya	Lettonia
ITsheki	Repubblica Ceca
ISlovaki	Slovacchia
IVilnyusi	Vilnius
IBulgariya	Bulgaria
Azerbaijan	Azerbaigian
IMalta	Malta
Indolobha yaseVathikhani	Città del Vaticano
USanti Marino	San Marino
Belize	Belize
Volkswagen	Volkswagen
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
IRiphabliki yaseNingizimu Afrika	Sudafrica
IAljiriya	Algeria
IWarshawa	Varsavia
Amanzi	Acqua
Isi-Icelandic	Lingua islandese
ITshile	Cile
Apple	Apple
UVenusi	Venere (astronomia)
U-Uranu	Urano (astronomia)
UNepetuni	Nettuno (astronomia)
UPluto	Plutone (astronomia)
Facebook	Facebook
